"StedID","Stedtekst","Vandområde","Dato","Medie","Prøvetype","Dybde (m)","Målested, x-koordinat","Målested, y-koordinat","Faktiske dybder (m)","Analysefraktion","Stofparameter","Resultat-attribut","Resultat","Enhed","Detektionsgrænse LD","Kvantifikationsgrænse LQ","Kvalitetsmærke"
70000222,"Nørremose Vest, kemi","Nørremose Vest","06.06.2024 12.00.00 +02:00","Sø","Blandingsprøve",0.6666666666666666,659679.9998653794,6154320.003692867,"0,2; 0,6; 1,2","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",52,"µg/l",0.3,0.3,2
64000001,"HEJREDE SØ, MARIBO","Hejrede Sø","11.07.2007 12.00.00 +02:00","Sø","Blandingsprøve",0.6,666919.999859419,6068978.003807292,"1; 0,6; 0,2","Total","Chlorophyl A"," =",12,"µg/l",9999999,NA,2
21000353,"KNUD SØ, ØST - Kemistation","Knudsø","27.02.1981 12.00.00 +01:00","Sø","Enkeltprøve",0,547981.9999596758,6217718.003608311,"0","Ej oplyst","EOX"," =",0.5,"g/(m2*d)",9999999,NA,2
44000053,"STATIONSMOSEN V. HJULBY SAND","Stationsmosem v hjulby sand","16.11.1999 12.00.00 +01:00","Sø","Enkeltprøve",0.2,609951.9999073382,6133867.003723798,"0,2","Total","Nitrogen,total N"," =",1.0000000474974513,"mg/l",9999999,NA,2
26000061,"Stilling Solbjerg Sø, SYD FOR KOLLEN","Stilling-solbjerg Sø","22.09.1976 12.00.00 +01:00","Sø","Enkeltprøve",0,565080.9999452933,6213111.003614955,"0","Opløst - filtrat fra filtrering","Nitrogen,total N"," =",1.2,"mg/l",9999999,NA,2
25000058,"NØRRE SØ VED VEDERSØ, Vandkemi","Nørresø, ringkøbing amt","12.09.1994 12.00.00 +02:00","Sø","Blandingsprøve",0.6749999999999999,450677.00004141673,6233658.003585912,"0,2; 1,15","Ej oplyst","Nitrit+nitrat-N"," =",0.5,"mg/l",9999999,NA,2
50000037,"SØLLERØD SØ, kemi","Søllerød Sø","20.09.1993 12.00.00 +02:00","Sø","Blandingsprøve",1.5166666666666666,718409.9998157882,6190956.003631702,"0,2; 2,9; 1,45","Total","Nitrogen,total N"," =",1.4,"mg/l",9999999,NA,2
42000010,"Store Søgård Sø - vandkemi","Store Søgård Sø","19.12.2007 12.00.00 +01:00","Sø","Blandingsprøve",1.3166666666666669,528586.9999758821,6087722.003783735,"0,2; 2,5; 1,25","Total","Jern"," =",1.2,"mg/l",9999999,NA,3
21000348,"THORSØ, ØST FOR LANGØ  THO2","Thorsø","10.09.1985 12.00.00 +02:00","Sø","Enkeltprøve",0,534176.9999712816,6220317.003604548,"0","Ej oplyst","COD, Kemisk iltforbrug"," =",10,"mg/l",9999999,NA,2
45000018,"Arreskov Sø /004","Arreskov Sø","03.10.1995 12.00.00 +01:00","Sø","Blandingsprøve",1.1,583298.9999297527,6113387.003750695,"2; 0,2","Total","pH"," =",8.04,"pH",9999999,NA,2
1000035,"NORS SØ - vandkemi","Norssø","04.06.2003 12.00.00 +02:00","Sø","Blandingsprøve",4.1,476319.00001976633,6320842.003460006,"0,2; 2; 4,1; 6; 8,2","Total","Ammoniak+ammonium-N"," =",0.029000001377426088,"mg/l",9999999,NA,2
14000015,"Store Økssø - vandkemi","St. økssø","12.06.2019 12.00.00 +02:00","Sø","Blandingsprøve",0.6666666666666666,553033.9999556452,6295933.003496693,"0,2; 0,6; 1,2","Total","Alkalinitet,total TA","<",0.005,"mmol/l",0.005,NA,3
55000012,"TISSØ, kemi","Tissø","06.06.2006 12.00.00 +02:00","Sø","Blandingsprøve",3,644294.9998785786,6162469.003684973,"3; 6; 0; 1,5; 4,5","Total","Glødetab,susp.stof"," =",3.13,"mg/l",9999999,NA,1
25000107,"SØNDERDYB, VEST STADIL FJORD, Vandkemi","Sønderdyb, Vest Stadil Fjord","07.05.2019 12.00.00 +02:00","Sø","Enkeltprøve",0.2,446865.0000446349,6226517.003596017,"0,2","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",0.008,"mg/l",0.005,NA,3
25000059,"SØBY SØ, MIDTJYLLAND, Vandkemi","Søby Sø, midtjylland","11.12.2008 12.00.00 +01:00","Sø","Blandingsprøve",2.95,504514.99999620474,6211704.003616475,"5,6; 4; 2; 0,2","Total","Alkalinitet,total TA"," =",0.73,"mmol/l",9999999,NA,2
55000012,"TISSØ, kemi","Tissø","08.04.2008 12.00.00 +02:00","Sø","Blandingsprøve",2.1666666666666665,644294.9998785786,6162469.003684973,"4,2; 2,1; 0,2","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.006,"mg/l",9999999,NA,2
31000048,"Karlsgårde Sø - vandkemi","Karlsgårde Sø","08.08.2002 12.00.00 +02:00","Sø","Enkeltprøve",0.2,473785.0000220776,6167046.00367815,"0,2","Opløst - filtrat fra filtrering","Silicium"," =",5.3,"mg/l",9999999,NA,2
52000014,"SØNDERSØ, kemi","Sønder Sø 1","20.08.1991 12.00.00 +02:00","Sø","Blandingsprøve",0.6666666666666666,710237.9998229623,6186185.0036417935,"0,6; 0,2; 1,2","Partikelbundet - fra filteret","COD, susp.stof "," =",16,"mg/l",9999999,NA,2
13000002,"HORNUM SØ - vandkemi","Hornum Sø","20.03.1989 12.00.00 +01:00","Sø","Enkeltprøve",0,545562.9999619251,6306744.00348085,"0","Total","Phosphor, total-P"," =",0.058,"mg/l",9999999,NA,1
57000018,"DENDERUP SØ, RØNNEDE - Kemi","Denderup Sø","20.11.1984 12.00.00 +01:00","Sø","Blandingsprøve",0.5666666666666667,687887.9998418817,6126727.003728941,"0,2; 0,5; 1","Total","Chlorophyl A"," =",1.9,"µg/l",9999999,NA,2
55000012,"TISSØ, kemi","Tissø","21.03.2005 12.00.00 +01:00","Sø","Blandingsprøve",2.7999999999999994,644294.9998785786,6162469.003684973,"2,8; 5,6; 0","Total","Nitrogen,total N"," =",4.3,"mg/l",9999999,NA,2
25000053,"Rørbæk Sø - vandkemi","Rørbæk Sø","24.01.2002 12.00.00 +01:00","Sø","Blandingsprøve",3.5,523096.99998057226,6198608.003634751,"6,8; 3,5; 0,2","Total","Phosphor, total-P"," =",0.026,"mg/l",9999999,NA,2
53000053,"SANKT JØRGENSSØ SYD-BAS, kemi","Skt. jørgens Sø syd-bassin","27.05.2009 12.00.00 +02:00","Sø","Blandingsprøve",1.9666666666666668,723665.999811065,6175816.003650228,"1,9; 3,8; 0,2","Total","Jern"," =",0.061,"mg/l",9999999,NA,1
16000005,"HORN SØ, Vandkemi","Horn Sø","29.09.1998 12.00.00 +02:00","Sø","Blandingsprøve",0,455826.00003701285,6269509.003534795,"0","Total","Suspenderede stoffer"," =",210,"mg/l",9999999,NA,2
50000035,"LYNGBY SØ,SØPROMENADEN","Lyngby Sø","11.10.1954 12.00.00 +01:00","Sø","Enkeltprøve",0.2,718918.9998153266,6186468.003637736,"0,2","Total","Nitrogen,total N"," =",2.57,"mg/l",9999999,NA,2
12000002,"JØLBY NOR - vandkemi","Jølby nor","28.07.1998 12.00.00 +02:00","Sø","Enkeltprøve",0.2,479289.000017319,6297572.003494035,"0,2","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.011000000522471964,"mg/l",9999999,NA,2
45000026,"LANGESØ /001","Langesø","31.08.1981 12.00.00 +02:00","Sø","Enkeltprøve",3.3,576153.9999358198,6143699.003710241,"3,3","Opløst - filtrat fra filtrering","Silicium"," =",4.48,"mg/l",9999999,NA,2
52000014,"SØNDERSØ, kemi","Sønder Sø 1","02.04.1997 12.00.00 +02:00","Sø","Blandingsprøve",1.8666666666666665,710237.9998229623,6186185.0036417935,"0,2; 3,6; 1,8","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.007,"mg/l",9999999,NA,2
26000064,"LADING SØ ØST,--LAD2","Lading Sø","10.07.2019 12.00.00 +02:00","Sø","Blandingsprøve",0.375,560075.9999495455,6230597.003590356,"0,2; 0,55","Opløst - filtrat fra filtrering","Farvetal-Pt"," =",29,"mg Pt/l",1,NA,3
21000352,"BIRKSØ, MIDT ","Birksø","21.07.2009 12.00.00 +02:00","Sø","Blandingsprøve",1.0666666666666669,545763.999961538,6216777.003609607,"2; 1; 0,2","Total","Ammoniak+ammonium-N"," =",0.007,"mg/l",9999999,NA,2
48000002,"ESRUM SØ, kemi","Esrum Sø","09.10.1975 12.00.00 +01:00","Sø","Enkeltprøve",20,711304.9998221311,6213072.0036036875,"20","Total","pH"," =",8.3,"pH",9999999,NA,2
21000263,"HALD SØ, Vandkemi","Hald Sø","14.06.1990 12.00.00 +02:00","Sø","Enkeltprøve",5,520998.9999823817,6247723.003565765,"5","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",0.5700000270735472,"mg/l",9999999,NA,2
50000028,"BAGSVÆRD SØ, kemi","Bagsværd Sø","24.07.1991 12.00.00 +02:00","Sø","Blandingsprøve",0.46666666666666673,717382.99981668894,6185871.003639278,"0,2; 0,4; 0,8","Total","Silicium"," =",1.1,"mg/l",9999999,NA,2
50000029,"FURESØ, kemi","Furesøen  storesø","07.08.2003 12.00.00 +02:00","Sø","Enkeltprøve",32,714083.9998196077,6189179.003636095,"32","Opløst - filtrat fra filtrering","Ammonium-N"," =",0.051,"mg/l",9999999,NA,2
21000814,"STIGSHOLM SØ ST AMT","Stigsholmsø","14.09.1989 12.00.00 +02:00","Sø","Blandingsprøve",99,530618.9999742508,6203693.003627733,"99","Total","Ortho-phosphat-P"," =",0.074,"mg/l",9999999,NA,2
21000362,"KARLSØ, MIDT - vandkemi","Karl Sø","26.07.1983 12.00.00 +02:00","Sø","Enkeltprøve",0,533993.9999714177,6207563.003622372,"0","Ej oplyst","COD, susp.stof "," =",10.8,"mg/l",9999999,NA,2
31000009,"Kvie Sø - vandkemi","Kvie Sø","29.05.2017 12.00.00 +02:00","Sø","Blandingsprøve",0.95,485559.0000121582,6175543.003666495,"1,7; 0,2","Total","Suspenderede stoffer"," =",4.8,"mg/l",0.2,NA,3
52000135,"LANGESØ VED LEJRE","Langesø ved lejre","24.08.1998 12.00.00 +02:00","Sø","Enkeltprøve",0.7166666666666668,685717.99984384,6167684.0036739595,"1,3; 0,65; 0,2","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",0.012,"mg/l",9999999,NA,2
21000263,"HALD SØ, Vandkemi","Hald Sø","05.07.2017 12.00.00 +02:00","Sø","Blandingsprøve",5.033333333333333,520998.9999823817,6247723.003565765,"10; 8; 6; 4; 2; 0,2","Opløst - filtrat fra filtrering","Farvetal-Pt"," =",2.5,"mg Pt/l",1,NA,3
21000320,"SØBYGÅRD SØ - vandkemi","Søbygårdsø","22.10.1985 12.00.00 +01:00","Sø","Enkeltprøve",0,550065.999957962,6234790.0035843225,"0","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.488,"mg/l",9999999,NA,2
21000351,"JULSØ - JUL1 - vandkemi","Julsø","13.02.1985 12.00.00 +01:00","Sø","Enkeltprøve",0,542592.9999642078,6219335.0036059935,"0","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.067,"mg/l",9999999,NA,2
46000480,"Wedellsborg Hoved","Wedellsborg hoved","11.08.2011 12.00.00 +02:00","Sø","Enkeltprøve",0.2,552059.9999561161,6136850.003719139,"0,2","Total","Oxygenmætning"," =",63,"pct",9999999,NA,2
