"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"VEDSØ, NONBO, Vandkemi","29.09.2015 12.00.00 +02:00","Vandløb",12,524269,6251523,"Oxygenmætning"," =",83,"pct",2
"LADEGÅRD SØ ST AMT","10.07.1996 12.00.00 +02:00","Vandløb",0.5,613055,6131227,"Oxygenmætning"," =",66,"pct",2
"SKÅN SØ, Vandkemi","11.06.2009 12.00.00 +02:00","Vandløb",5.27,489508,6262774,"Oxygen indhold"," =",9.8,"mg/l",2
"FURESØ, kemi","22.08.2002 12.00.00 +02:00","Vandløb",20,714084,6189179,"Oxygen indhold"," =",3.5,"mg/l",2
"Strandsø nord for Harboslette - vandkemi","04.08.2015 12.00.00 +02:00","Vandløb",1,488376,6328885,"Oxygen indhold"," =",9.86,"mg/l",2
"SØHOLM SØ /001","03.07.2001 12.00.00 +02:00","Vandløb",7.5,571863,6125861,"Oxygenmætning"," =",2,"pct",2
"GYRSTINGE SØ","24.08.1993 12.00.00 +02:00","Vandløb",0,670170,6154066,"Oxygen indhold"," =",11.1,"mg/l",2
"MADUM SØ - vandkemi","08.09.1992 12.00.00 +02:00","Vandløb",3,557195,6295420,"Oxygen indhold"," =",12.1,"mg/l",2
"ARRESØ, kemi","22.06.1987 12.00.00 +02:00","Vandløb",0,693898,6209574,"Oxygen indhold"," =",12.9,"mg/l",2
"BIRKERØD SØ","02.03.1987 12.00.00 +01:00","Vandløb",3,714472,6193251,"Oxygen indhold"," =",0.6,"mg/l",2
"SØHOLM SØ /001","21.05.2013 12.00.00 +02:00","Vandløb",14.5,571863,6125861,"Oxygenmætning"," =",3,"pct",2
"VELLING IGELSØ, midt - vandkemi","02.12.2008 12.00.00 +01:00","Vandløb",10,532507,6211090,"Oxygen indhold"," =",10.9,"mg/l",2
"FURESØ, kemi","06.07.2022 12.00.00 +02:00","Vandløb",18,714083.9990448453,6189179.027232725,"Oxygenmætning","",46.3,"pct",1
"FURESØ, kemi","28.07.2005 12.00.00 +02:00","Vandløb",4,714084,6189179,"Oxygen indhold"," =",9.82,"mg/l",2
"RØGBØLLE SØ, SYDB, kemi","17.11.1997 12.00.00 +01:00","Vandløb",2,666003,6065651,"Oxygen indhold"," =",11.36,"mg/l",2
"SØLLERØD SØ, kemi","16.11.1999 12.00.00 +01:00","Vandløb",2,718410,6190956,"Oxygenmætning"," =",56.2,"pct",2
"FURESØ, kemi","19.09.2013 12.00.00 +02:00","Vandløb",14,714084,6189179,"Oxygen indhold"," =",5.9,"mg/l",2
"KARLSTRUP SØ, kemi","17.08.2006 12.00.00 +02:00","Vandløb",9,702477,6160382,"Oxygen indhold"," =",0.3,"mg/l",2
"STUBBERGÅRD SØ, Vandkemi","23.05.2018 12.00.00 +02:00","Vandløb",8.6,495462,6253704,"Oxygen indhold"," =",0,"mg/l",3
"SKÅN SØ, Vandkemi","16.06.2015 12.00.00 +02:00","Vandløb",1,489508,6262774,"Oxygenmætning"," =",94.4,"pct",2
"LILLE VEJLESØ DYBESTE STED","13.09.2023 12.00.00 +02:00","Vandløb",2.57,712151.299139394,6166686.245243209,"Oxygen indhold","",6.8539,"mg/l",2
"HALD SØ, Vandkemi","15.11.1990 12.00.00 +01:00","Vandløb",0.2,520999,6247723,"Oxygen indhold"," =",8.1,"mg/l",2
"HALD SØ ST.3","14.06.1990 12.00.00 +02:00","Vandløb",4,521059,6249273,"Oxygen indhold"," =",13.6,"mg/l",2
