"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"SØ ØST FOR MOVSØ, Vandkemi","15.04.2008 12.00.00 +02:00","Vandløb",1.64,514851,6253810,"Oxygenmætning"," =",101,"pct",2
"TRYGGELEV NOR VEST MC ST 2","27.03.2003 12.00.00 +01:00","Vandløb",1.5,606770,6073340,"Oxygen indhold"," =",24,"mg/l",2
"KRANSMOSE, Vandkemi","10.11.2008 12.00.00 +01:00","Vandløb",3.67,517509,6251173,"Oxygen indhold"," =",11.5,"mg/l",2
"ULSE SØ, kemi","12.05.2025 12.00.00 +02:00","Vandløb",2,691218.5220189621,6132094.253372031,"Oxygen indhold","",11.79,"mg/l",2
"TYSTRUP SØ, kemi","16.12.1999 12.00.00 +01:00","Vandløb",9.82,663916,6137795,"Oxygen indhold"," =",12.8,"mg/l",2
"OVE SØ Fredskilde Bæk","14.08.1990 12.00.00 +02:00","Vandløb",0.2,463299,6304492,"Oxygen indhold"," =",9.3,"mg/l",2
"HALD SØ, Vandkemi","06.08.1997 12.00.00 +02:00","Vandløb",0.2,520999,6247723,"Oxygen indhold"," =",13.3,"mg/l",2
"BURESØ","09.05.1989 12.00.00 +02:00","Vandløb",7,701619,6191260,"Oxygen indhold"," =",11.2,"mg/l",2
"ÅRSLEV ENGSØ AMT ST","12.08.2004 12.00.00 +02:00","Vandløb",0.2,566914,6222580,"Oxygen indhold"," =",6.4,"mg/l",2
"Engelsholm Sø - vandkemi","15.08.1996 12.00.00 +02:00","Vandløb",0.2,520069,6174893,"Oxygenmætning"," =",96,"pct",2
"Nr. 25 (Mose ved Årslev)småsø/001","20.09.2007 12.00.00 +02:00","Vandløb",0.5,592271,6128357,"Oxygenmætning"," =",26,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","11.08.2009 12.00.00 +02:00","Vandløb",19.03,552519,6218243,"Oxygenmætning"," =",30.6,"pct",2
"VOMME SØ ST 2 AMT","12.07.1995 12.00.00 +02:00","Vandløb",0.5,603570,6133607,"Oxygen indhold"," =",12.8,"mg/l",2
"TORBENFELT SØ, AMT ST","10.12.2009 12.00.00 +01:00","Vandløb",0.8,658319,6168694,"Oxygen indhold"," =",12.2,"mg/l",2
"LILLE VEJLESØ DYBESTE STED","01.06.1989 12.00.00 +02:00","Vandløb",1.5,712148,6166689,"Oxygenmætning"," =",101,"pct",2
"SALTEN LANGSØ , MIDT --SAL2","17.04.2007 12.00.00 +02:00","Vandløb",1.7,539846,6213393,"Oxygen indhold"," =",14.4,"mg/l",2
"OLLERUP SØ AMTST.1","02.12.1997 12.00.00 +01:00","Vandløb",1,594808,6103529,"Oxygenmætning"," =",95,"pct",2
"Jels Midtsø - vandkemi","15.08.2022 12.00.00 +02:00","Vandløb",3.549599,514575.999974779,6136906.00763382,"Oxygen indhold","",0.8214619,"mg/l",2
"SØHOLM SØ /001","10.03.2014 12.00.00 +01:00","Vandløb",1,571863,6125861,"Oxygen indhold"," =",15,"mg/l",2
"LØGSØ AMT ST","20.04.1982 12.00.00 +02:00","Vandløb",5,717909,6192954,"Oxygenmætning"," =",18,"pct",2
"Keldsnor /001, vandkemi, sediment","05.04.2004 12.00.00 +02:00","Vandløb",1.1,609890,6065908,"Oxygen indhold"," =",12.5,"mg/l",2
"BAGSVÆRD SØ, kemi","02.06.1992 12.00.00 +02:00","Vandløb",2.5,717383,6185871,"Oxygen indhold"," =",8.2,"mg/l",2
"BROMME LILLESØ, kemi","11.06.2009 12.00.00 +02:00","Vandløb",1,658919,6151194,"Oxygenmætning"," =",95.17,"pct",2
"SØHOLM SØ /001","25.04.2000 12.00.00 +02:00","Vandløb",2,571863,6125861,"Oxygenmætning"," =",138,"pct",2
"TYSTRUP SØ, kemi","23.08.1991 12.00.00 +02:00","Vandløb",3,663916,6137795,"Oxygen indhold"," =",10.4,"mg/l",2
"Arreskov Sø /004","21.05.2001 12.00.00 +02:00","Vandløb",1,583299,6113387,"Oxygen indhold"," =",9.5,"mg/l",2
"SØBO SØ, vandkemi","24.11.2009 12.00.00 +01:00","Vandløb",2,576888,6118630,"Oxygenmætning"," =",88,"pct",2
"FURESØ, kemi","08.04.2025 12.00.00 +02:00","Vandløb",1.04,714084.4349960297,6189178.677114806,"Oxygen indhold","",16.65,"mg/l",2
"BASTRUP SØ, kemi","08.03.2000 12.00.00 +01:00","Vandløb",2,704828,6190664,"Oxygen indhold"," =",12.7,"mg/l",2
"SKÅN SØ, Vandkemi","11.07.1991 12.00.00 +02:00","Vandløb",6,489508,6262774,"Oxygen indhold"," =",6.5,"mg/l",2
"Store Søgård Sø - vandkemi","12.05.2004 12.00.00 +02:00","Vandløb",6,528587,6087722,"Oxygen indhold"," =",0.3,"mg/l",2
"SORTEDAMSSØ NORD-BAS, kemi","03.05.2022 12.00.00 +02:00","Vandløb",1.9,724715.9998018866,6177956.003866275,"Oxygen indhold","",14.12,"mg/l",1
"Arreskov Sø /004","19.08.1996 12.00.00 +02:00","Vandløb",0.2,583299,6113387,"Oxygen indhold"," =",5.8,"mg/l",2
"NEDERSØ, Vandkemi","08.09.2004 12.00.00 +02:00","Vandløb",0.2,521067,6198453,"Oxygenmætning"," =",100.9,"pct",2
"SØRUP SØ, Fyn /001","14.06.2001 12.00.00 +02:00","Vandløb",0.2,599779,6104178,"Oxygenmætning"," =",158,"pct",2
"BRYRUP LANGSØ,  BRY 1","09.10.1991 12.00.00 +01:00","Vandløb",0.2,532693,6208262,"Oxygenmætning"," =",104,"pct",2
"BRYRUP LANGSØ,  BRY 1","11.07.2006 12.00.00 +02:00","Vandløb",5,532693,6208262,"Oxygenmætning"," =",3,"pct",2
"RØGBØLLE SØ, SYDB, kemi","13.11.1989 12.00.00 +01:00","Vandløb",0.2,666003,6065651,"Oxygenmætning"," =",121,"pct",2
"Varnæs Skovsø - vandkemi","24.07.2006 12.00.00 +02:00","Vandløb",1,538213,6098471,"Oxygenmætning"," =",128,"pct",1
"KARLSTRUP SØ, kemi","31.08.1989 12.00.00 +02:00","Vandløb",8,702477,6160382,"Oxygen indhold"," =",7.1,"mg/l",2
"THORSØ, MIDT  THO1 - vandkemi","11.08.1998 12.00.00 +02:00","Vandløb",5,532734,6220120,"Oxygen indhold"," =",8.1,"mg/l",2
"STUBBERGÅRD SØ, Vandkemi","19.07.2018 12.00.00 +02:00","Vandløb",4.5,495462,6253704,"Oxygen indhold"," =",4.07,"mg/l",3
"SØLLERØD SØ, kemi","16.05.2007 12.00.00 +02:00","Vandløb",3,718410,6190956,"Oxygenmætning"," =",107,"pct",2
"ESRUM SØ, kemi","17.07.2001 12.00.00 +02:00","Vandløb",3,711305,6213072,"Oxygen indhold"," =",9.8,"mg/l",2
"KNUD SØ, ØST - Kemistation","14.08.1990 12.00.00 +02:00","Vandløb",18,547982,6217718,"Oxygen indhold"," =",3.1,"mg/l",2
"Kruså Møllesø - vandkemi","13.11.1989 12.00.00 +01:00","Vandløb",1,525357,6077691,"Oxygen indhold"," =",9.8,"mg/l",2
"BRASSØ, BRA 1","04.08.1992 12.00.00 +02:00","Vandløb",13,536232,6221992,"Oxygenmætning"," =",5,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","27.06.2024 12.00.00 +02:00","Vandløb",13.04,552519.0274697327,6218242.98182966,"Oxygen indhold","",7.61,"mg/l",2
"RÅBJERG MILE SØ VEST - vandkemi","07.09.1983 12.00.00 +02:00","Vandløb",0.2,582918,6389492,"Oxygen indhold"," =",11.2,"mg/l",2
"VIBORG SØNDERSØ, Vandkemi","30.05.2013 12.00.00 +02:00","Vandløb",5,525589,6255243,"Oxygen indhold"," =",7.3,"mg/l",2
"RETTRUPKÆR SØ, Vandkemi","14.07.2011 12.00.00 +02:00","Vandløb",0.2,493691,6268228,"Oxygenmætning"," =",78.7,"pct",2
"Engelsholm Sø - vandkemi","18.09.2006 12.00.00 +02:00","Vandløb",4.49,520069,6174893,"Oxygen indhold"," =",1.1,"mg/l",2
"BYGHOLM SØ ST.95","01.06.2016 12.00.00 +02:00","Vandløb",1.9,550329,6191820,"Oxygenmætning"," =",116.2,"pct",3
"GUNDSØMAGLE SØ ST AMT","28.05.1979 12.00.00 +01:00","Vandløb",0.5,700368,6180364,"Oxygenmætning"," =",114,"pct",2
"NORS SØ - vandkemi","17.08.2011 12.00.00 +02:00","Vandløb",17,476319,6320842,"Oxygenmætning"," =",100,"pct",2
"DYSSEMOSE, AMT ST","15.09.2016 12.00.00 +02:00","Vandløb",1,669119,6163894,"Oxygen indhold"," =",8.8,"mg/l",3
"MOSSØ - vandkemi","30.08.2012 12.00.00 +02:00","Vandløb",16.01,549550,6210472,"Oxygenmætning"," =",74.9,"pct",2
"SKT. JØRGENSØ NORD-BAS AMTST","11.09.2019 12.00.00 +02:00","Vandløb",0.2,723718.9998027409,6176181.00386868,"Oxygenmætning","",100,"pct",1
"TORUP SØ - vandkemi","03.09.2013 12.00.00 +02:00","Vandløb",8.48,526958,6208210,"Oxygenmætning"," =",0,"pct",2
"KULSØ, TROLDHEDE, Vandkemi","20.09.2016 12.00.00 +02:00","Vandløb",1.5,483127,6206494,"Oxygenmætning"," =",71.2,"pct",3
"BRYRUP LANGSØ,  BRY 1","18.09.2002 12.00.00 +02:00","Vandløb",1.1,532693,6208262,"Oxygen indhold"," =",10.6,"mg/l",2
"HALD SØ, Vandkemi","28.10.1985 12.00.00 +01:00","Vandløb",12,520999,6247723,"Oxygen indhold"," =",8.7,"mg/l",2
"TISSØ, kemi","14.05.1991 12.00.00 +02:00","Vandløb",3.99,644295,6162469,"Oxygen indhold"," =",13.7,"mg/l",2
"HALD SØ ST.3","10.11.2008 12.00.00 +01:00","Vandløb",8.4,521059,6249273,"Oxygenmætning"," =",95,"pct",2
"Dons Nørresø - vandkemi","18.11.2002 12.00.00 +01:00","Vandløb",0.21,526783,6156900,"Oxygen indhold"," =",10.6,"mg/l",2
"BRASSØ, BRA 1","08.04.1999 12.00.00 +02:00","Vandløb",1.1,536232,6221992,"Oxygenmætning"," =",138,"pct",2
"GRUSGRAVSSØ 5.20","20.08.2013 12.00.00 +02:00","Vandløb",2,597782,6131303,"Oxygenmætning"," =",114,"pct",2
"TRYGGELEV NOR VEST MC ST 2","21.09.2006 12.00.00 +02:00","Vandløb",0.2,606770,6073340,"Oxygen indhold"," =",8.3,"mg/l",2
"OLSENS SØ, kemi","19.05.2025 12.00.00 +02:00","Vandløb",0.98,715963.9980822699,6191824.754030977,"Oxygenmætning","",73.02,"pct",2
"HALD SØ, Vandkemi","03.06.1991 12.00.00 +02:00","Vandløb",28.9,520999,6247723,"Oxygen indhold"," =",3.9,"mg/l",2
"Nørresø, Fyn /001, vandkemi, sediment","16.06.1998 12.00.00 +02:00","Vandløb",2.5,587917,6112007,"Oxygen indhold"," =",8.5,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","24.08.1993 12.00.00 +02:00","Vandløb",11,552519,6218243,"Oxygen indhold"," =",9.4,"mg/l",2
"FURESØ, kemi","22.01.1998 12.00.00 +01:00","Vandløb",32,714084,6189179,"Oxygen indhold"," =",12.6,"mg/l",2
"Dons Nørresø - vandkemi","11.07.1990 12.00.00 +02:00","Vandløb",1,526783,6156900,"Oxygen indhold"," =",11.4,"mg/l",2
"Vedsted Sø - vandkemi","18.05.1977 12.00.00 +01:00","Vandløb",1.25,523233,6116144,"Oxygen indhold"," =",14.2,"mg/l",2
"Frederiksborg  Slotsø, kemi","06.06.2002 12.00.00 +02:00","Vandløb",3,706425,6203680,"Oxygenmætning"," =",51,"pct",2
"GØDSTRUP SØ, Vandkemi","11.05.1987 12.00.00 +02:00","Vandløb",3,494267,6223446,"Oxygen indhold"," =",10.4,"mg/l",2
"SØHOLM SØ /001","15.07.2008 12.00.00 +02:00","Vandløb",14,571863,6125861,"Oxygenmætning"," =",1,"pct",2
"SØHOLM SØ /001","26.09.2006 12.00.00 +02:00","Vandløb",0.5,571863,6125861,"Oxygen indhold"," =",9.6,"mg/l",2
"Jels Midtsø - vandkemi","03.09.2001 12.00.00 +02:00","Vandløb",3,514794,6136906,"Oxygenmætning"," =",54.5,"pct",2
"UDBYOVER SØ Ø-DEL (UDB 1)","23.10.1996 12.00.00 +02:00","Vandløb",0,574384,6279463,"Oxygen indhold"," =",12.7,"mg/l",2
"BRYRUP LANGSØ,  BRY 1","01.07.2002 12.00.00 +02:00","Vandløb",4,532693,6208262,"Oxygenmætning"," =",124,"pct",2
"LADEGÅRD SØ ST AMT","07.08.2002 12.00.00 +02:00","Vandløb",0.5,613055,6131227,"Oxygenmætning"," =",30,"pct",2
"MARIBO SØNDERSØ, kemi","27.06.1994 12.00.00 +02:00","Vandløb",2,661571,6070255,"Oxygen indhold"," =",9.7,"mg/l",2
"Sortesø /001, Fyn","05.05.1998 12.00.00 +02:00","Vandløb",3,583515,6108993,"Oxygen indhold"," =",0.6,"mg/l",2
"SØHOLM SØ /001","26.10.1998 12.00.00 +01:00","Vandløb",10,571863,6125861,"Oxygenmætning"," =",74.2,"pct",2
"Nørresø, Fyn /001, vandkemi, sediment","09.07.1991 12.00.00 +02:00","Vandløb",0.5,587917,6112007,"Oxygen indhold"," =",15.4,"mg/l",2
"KVINDSØ, MIDT -- KVI 1","28.05.1997 12.00.00 +02:00","Vandløb",0.5,531137,6209025,"Oxygen indhold"," =",10,"mg/l",2
"SØHOLM SØ /001","30.08.2010 12.00.00 +02:00","Vandløb",6,571863,6125861,"Oxygenmætning"," =",86,"pct",2
"DØNNERUP 56 AMT ST","15.08.2006 12.00.00 +02:00","Vandløb",0.5,653014,6167468,"Oxygenmætning"," =",96.1,"pct",2
"BASTRUP SØ, kemi","12.04.2000 12.00.00 +02:00","Vandløb",4,704828,6190664,"Oxygenmætning"," =",101,"pct",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","07.04.2010 12.00.00 +02:00","Vandløb",0.61,504515,6211704,"Oxygenmætning"," =",100,"pct",2
"FURESØEN STOREKALV AMT ST","18.07.1978 12.00.00 +01:00","Vandløb",2.2,715762,6190674,"Oxygenmætning"," =",113,"pct",2
"RÆVSØ, MIDT","04.06.2008 12.00.00 +02:00","Vandløb",10,527614,6208973,"Oxygen indhold"," =",9.7,"mg/l",2
"Skanderborg Sø - vandkemi","12.12.2006 12.00.00 +01:00","Vandløb",10,557952,6207834,"Oxygenmætning"," =",98,"pct",2
"BAGSVÆRD SØ, kemi","17.09.1996 12.00.00 +02:00","Vandløb",2.5,717383,6185871,"Oxygen indhold"," =",9,"mg/l",2
"SALTEN LANGSØ , MIDT --SAL2","17.05.2022 12.00.00 +02:00","Vandløb",5,539846.0393452402,6213393.029312176,"Oxygenmætning","",106.1665,"pct",2
"BYGHOLM SØ ST.95","10.09.2003 12.00.00 +02:00","Vandløb",0.77,550329,6191820,"Oxygenmætning"," =",104.7,"pct",2
"SNÆBUM SØ - vandkemi","13.09.2001 12.00.00 +02:00","Vandløb",8,539799,6278193,"Oxygen indhold"," =",0.1,"mg/l",2
"RINGBÆK SØ DYBESTE STED","03.07.1996 12.00.00 +02:00","Vandløb",1,714322,6168471,"Oxygen indhold"," =",9.6,"mg/l",2
"Fårup Sø - vandkemi","13.03.2002 12.00.00 +01:00","Vandløb",7.03,525369,6176393,"Oxygen indhold"," =",15.3,"mg/l",2
"BORUP SØ ST AMT","19.03.1991 12.00.00 +01:00","Vandløb",1,687544,6154115,"Oxygen indhold"," =",12.9,"mg/l",2
"SØHOLM SØ /001","13.03.2018 12.00.00 +01:00","Vandløb",1,571863,6125861,"Oxygen indhold"," =",14.2,"mg/l",3
"ALMINDSØ  ALM 1","03.05.2018 12.00.00 +02:00","Vandløb",7,534102,6222659,"Oxygen indhold"," =",14.5,"mg/l",3
"RAVNSØ, MIDT -- RAV1 - vandkemi","05.10.1989 12.00.00 +01:00","Vandløb",19,552519,6218243,"Oxygen indhold"," =",0.2,"mg/l",2
"ST. GEDDESØ,MØN","18.07.2008 12.00.00 +02:00","Vandløb",2,725763,6097897,"Oxygen indhold"," =",9.5,"mg/l",2
"SØHOLM SØ /001","03.12.2001 12.00.00 +01:00","Vandløb",6,571863,6125861,"Oxygenmætning"," =",70,"pct",2
"Smalby Sø vest - vandkemi","14.06.2023 12.00.00 +02:00","Vandløb",5.54,556944.9999023626,6329395.007086833,"Oxygen indhold","",9.3418,"mg/l",2
"TYSTRUP SØ, kemi","31.05.2000 12.00.00 +02:00","Vandløb",16,663916,6137795,"Oxygenmætning"," =",49,"pct",2
"VEDSØ, NONBO, Vandkemi","26.04.2012 12.00.00 +02:00","Vandløb",2,524269,6251523,"Oxygenmætning"," =",120,"pct",2
"UGLEDIGE SØ,MERN","20.07.1998 12.00.00 +02:00","Vandløb",0.2,691649,6106854,"Oxygenmætning"," =",102,"pct",2
"MOSSØ - vandkemi","15.06.2005 12.00.00 +02:00","Vandløb",4,549550,6210472,"Oxygenmætning"," =",89,"pct",2
"SØHOLM SØ /001","19.07.2004 12.00.00 +02:00","Vandløb",4.5,571863,6125861,"Oxygenmætning"," =",81,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","24.01.2020 12.00.00 +01:00","Vandløb",20.04,552519,6218243,"Oxygenmætning"," =",90.7,"pct",2
"Ralsøen (G30) - vandkemi","15.05.2007 12.00.00 +02:00","Vandløb",9,519536,6100939,"Oxygenmætning"," =",98.6,"pct",2
"Sjapmose - vandkemi","16.06.2016 12.00.00 +02:00","Vandløb",0.2,494343,6127109,"Oxygenmætning"," =",124.9,"pct",3
"ESRUM SØ, kemi","29.04.1985 12.00.00 +02:00","Vandløb",0,711305,6213072,"Oxygenmætning"," =",104,"pct",2
"Gråsten Slotssø - vandkemi","25.05.2004 12.00.00 +02:00","Vandløb",4,537772,6086237,"Oxygenmætning"," =",44.7,"pct",2
"Rørbæk Sø - vandkemi","18.04.2002 12.00.00 +02:00","Vandløb",6.24,523097,6198608,"Oxygenmætning"," =",104.4,"pct",2
"Jels Nedersø - vandkemi","03.07.2013 12.00.00 +02:00","Vandløb",2,513937,6135204,"Oxygenmætning"," =",89.5,"pct",2
"KNUD SØ, ØST - Kemistation","16.07.1997 12.00.00 +02:00","Vandløb",27,547982,6217718,"Oxygen indhold"," =",0.1,"mg/l",2
"TRYGGELEV NOR VEST MC ST 2","03.06.2004 12.00.00 +02:00","Vandløb",4.1,606770,6073340,"Oxygenmætning"," =",72,"pct",2
"VEJLESØ, MIDT","09.08.1993 12.00.00 +02:00","Vandløb",0.5,717014,6190183,"Oxygenmætning"," =",106.4,"pct",2
"ARRESØ, kemi","12.04.2007 12.00.00 +02:00","Vandløb",4.6,693898,6209574,"Oxygenmætning"," =",98,"pct",2
"FURESØ, kemi","05.07.2011 12.00.00 +02:00","Vandløb",13,714084,6189179,"Oxygen indhold"," =",5.9,"mg/l",2
"Fårup Sø - vandkemi","20.09.1993 12.00.00 +02:00","Vandløb",3,525369,6176393,"Oxygen indhold"," =",9.1,"mg/l",2
"ARRESØ, kemi","22.01.2020 12.00.00 +01:00","Vandløb",0.2,693898,6209574,"Oxygenmætning"," =",100,"pct",2
"BAVELSE SØ, kemi","30.06.2022 12.00.00 +02:00","Vandløb",1,667068.999859052,6135191.003718061,"Oxygen indhold","",13.2,"mg/l",2
"BRYRUP LANGSØ,  BRY 1","20.06.2007 12.00.00 +02:00","Vandløb",1.8,532693,6208262,"Oxygenmætning"," =",180,"pct",2
"BORUP SØ ST AMT","09.02.1993 12.00.00 +01:00","Vandløb",1.6,687544,6154115,"Oxygen indhold"," =",12.67,"mg/l",2
"FURESØ, kemi","30.08.1990 12.00.00 +02:00","Vandløb",2.11,714084,6189179,"Oxygen indhold"," =",11.2,"mg/l",2
"ARRESØ, kemi","19.09.1995 12.00.00 +02:00","Vandløb",3,693898,6209574,"Oxygenmætning"," =",89,"pct",2
"NORS SØ - vandkemi","12.04.2022 12.00.00 +02:00","Vandløb",8,476201.0000198649,6320965.003457136,"Oxygen indhold"," =",13.3,"mg/l",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","22.04.2008 12.00.00 +02:00","Vandløb",1.41,504515,6211704,"Oxygenmætning"," =",97,"pct",1
"RAVNSØ, MIDT -- RAV1 - vandkemi","08.08.1991 12.00.00 +02:00","Vandløb",16,552519,6218243,"Oxygen indhold"," =",5.5,"mg/l",2
"Skærsø - vandkemi","19.09.2012 12.00.00 +02:00","Vandløb",3,517419,6159693,"Oxygen indhold"," =",9.96,"mg/l",2
"FURESØ, kemi","21.05.1992 12.00.00 +02:00","Vandløb",0.35,714084,6189179,"Oxygenmætning"," =",153,"pct",2
"FURESØ, kemi","14.03.1984 12.00.00 +01:00","Vandløb",0,714084,6189179,"Oxygenmætning"," =",100,"pct",2
"SØHOLM SØ /001","07.10.2013 12.00.00 +02:00","Vandløb",5,571863,6125861,"Oxygenmætning"," =",75,"pct",2
"VROLD SØ","11.07.2024 12.00.00 +02:00","Vandløb",3.02,555226.0338729473,6208188.956241287,"Oxygenmætning","",95.6,"pct",2
"SØHOLM SØ /001","14.05.1991 12.00.00 +02:00","Vandløb",14,571863,6125861,"Oxygenmætning"," =",52,"pct",2
"NORS SØ - vandkemi","12.04.2016 12.00.00 +02:00","Vandløb",5,476319,6320842,"Oxygen indhold"," =",12.52,"mg/l",3
"Ødis Sø - vandkemi","08.08.2007 12.00.00 +02:00","Vandløb",0.2,523790,6139980,"Oxygen indhold"," =",8.8,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","17.08.1998 12.00.00 +02:00","Vandløb",11,552519,6218243,"Oxygenmætning"," =",72,"pct",2
"VIBORG SØNDERSØ, Vandkemi","17.09.1986 12.00.00 +02:00","Vandløb",5.6,525589,6255243,"Oxygen indhold"," =",10,"mg/l",2
"NØRRESTRAND AMT ST","09.06.2004 12.00.00 +02:00","Vandløb",0.2,555565,6192796,"Oxygen indhold"," =",15.5,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","20.09.2022 12.00.00 +02:00","Vandløb",9.03,552519.0274697327,6218242.98182966,"Oxygenmætning","",94.2894,"pct",2
"SØHOLM SØ /001","26.07.1993 12.00.00 +02:00","Vandløb",5.5,571863,6125861,"Oxygenmætning"," =",47,"pct",2
"Kvie Sø - vandkemi","18.08.2009 12.00.00 +02:00","Vandløb",1,485559,6175543,"Oxygenmætning"," =",98.8,"pct",2
"KÅS SØ, Vandkemi","17.05.2006 12.00.00 +02:00","Vandløb",3,481729,6274721,"Oxygen indhold"," =",9.6,"mg/l",2
"VIBORG NØRRESØ, Vandkemi","24.10.2005 12.00.00 +02:00","Vandløb",6,526649,6257983,"Oxygen indhold"," =",6.2,"mg/l",2
"TEBSTRUP SØ","11.09.2002 12.00.00 +02:00","Vandløb",8.04,554540,6201824,"Oxygen indhold"," =",0.1,"mg/l",2
"BRÆNDEGÅRD SØ ST.1","26.09.1994 12.00.00 +01:00","Vandløb",0.2,587744,6110137,"Oxygen indhold"," =",14.6,"mg/l",2
"KORNERUP SØ, kemi","14.04.1999 12.00.00 +02:00","Vandløb",0.2,687852,6168864,"Oxygenmætning"," =",90.4,"pct",2
"FURESØEN STOREKALV AMT ST","16.12.1993 12.00.00 +01:00","Vandløb",0.03,715762,6190674,"Oxygen indhold"," =",12.6,"mg/l",2
"PRÆSTEMOSE","15.05.2007 12.00.00 +02:00","Vandløb",0.1,869131,6129395,"Oxygenmætning"," =",159.4,"pct",2
"TRYGGELEV NOR VEST MC ST 2","11.03.2004 12.00.00 +01:00","Vandløb",3.4,606770,6073340,"Oxygen indhold"," =",15.5,"mg/l",2
"SØHOLM SØ /001","24.10.2016 12.00.00 +02:00","Vandløb",12,571863,6125861,"Oxygen indhold"," =",5.78,"mg/l",3
"FARUM SØ, DYBESTE STED NORD","04.12.1984 12.00.00 +01:00","Vandløb",14,710835,6189267,"Oxygenmætning"," =",85,"pct",2
"SØHOLM SØ /001","13.03.2012 12.00.00 +01:00","Vandløb",3,571863,6125861,"Oxygenmætning"," =",104,"pct",2
"Saltholm","30.08.2012 12.00.00 +02:00","Vandløb",0.03,736263,6173263,"Oxygenmætning"," =",315,"pct",2
"BORRESMINDE GRUSGRAV AMT ST","12.06.1997 12.00.00 +02:00","Vandløb",0.2,649283,6085746,"Oxygenmætning"," =",138,"pct",2
"HVIDKILDE SØ /001","27.05.1991 12.00.00 +02:00","Vandløb",1,597396,6103326,"Oxygen indhold"," =",11,"mg/l",2
"Fårup Sø - vandkemi","30.04.1997 12.00.00 +02:00","Vandløb",0.4,525369,6176393,"Oxygen indhold"," =",13.7,"mg/l",2
"FURESØEN STOREKALV AMT ST","11.08.1994 12.00.00 +02:00","Vandløb",0.27,715762,6190674,"Oxygen indhold"," =",8.3,"mg/l",2
"VÆNG SØ","12.06.1991 12.00.00 +02:00","Vandløb",0.5,540840,6210187,"Oxygen indhold"," =",11.5,"mg/l",2
"Skanderborg Sø - vandkemi","27.09.2021 12.00.00 +02:00","Vandløb",13,557720.2710104506,6207924.613161806,"Oxygenmætning","",65.77,"pct",2
"RØDDING SØ, Vandkemi","22.05.2019 12.00.00 +02:00","Vandløb",1.9,530578,6261869,"Oxygen indhold"," =",8.34,"mg/l",3
"ST.GRIB SØ","18.08.1982 12.00.00 +02:00","Vandløb",8,706078,6209294,"Oxygenmætning"," =",0,"pct",2
"Engelsholm Sø - vandkemi","07.11.2011 12.00.00 +01:00","Vandløb",0.2,520069,6174893,"Oxygenmætning"," =",82.3,"pct",2
"KIMMERSLEV SØ, kemi","21.06.2022 12.00.00 +02:00","Vandløb",5.5,688779.9998405922,6153065.003690881,"Oxygen indhold","",0,"mg/l",2
"Rørbæk Lillesø - vandkemi","08.09.2004 12.00.00 +02:00","Vandløb",1.74,521429,6198873,"Oxygen indhold"," =",5.9,"mg/l",2
"BIRKERØD SØ","13.09.1989 12.00.00 +02:00","Vandløb",3,714472,6193251,"Oxygenmætning"," =",113,"pct",2
"SARUP SØ ST AMT","05.07.1993 12.00.00 +02:00","Vandløb",3,567954,6118169,"Oxygen indhold"," =",4.3,"mg/l",2
"Dallund Sø /001","21.10.1992 12.00.00 +01:00","Vandløb",0.2,580869,6149324,"Oxygenmætning"," =",80,"pct",2
"JULSØ - JUL1 - vandkemi","15.07.1999 12.00.00 +02:00","Vandløb",6,542593,6219335,"Oxygen indhold"," =",3,"mg/l",2
"Glenstrup sø, øst","10.08.2000 12.00.00 +02:00","Vandløb",5,550467,6272338,"Oxygen indhold"," =",8.8,"mg/l",2
"ELLESØ, ROSKILDE","24.05.2023 12.00.00 +02:00","Vandløb",2,681901.9998465204,6160949.00368138,"Oxygenmætning","",86,"pct",2
"NORS SØ - vandkemi","21.03.2013 12.00.00 +01:00","Vandløb",2,476319,6320842,"Oxygenmætning"," =",106,"pct",2
"Store Søgård Sø - vandkemi","18.06.2003 12.00.00 +02:00","Vandløb",4,528587,6087722,"Oxygen indhold"," =",3.9,"mg/l",2
"Damhussøen - KEMI","29.01.2003 12.00.00 +01:00","Vandløb",1.9,718516,6175584,"Oxygen indhold"," =",13.1,"mg/l",2
"Nørre Tvismark Sø - Vest - vandkemi","20.04.2010 12.00.00 +02:00","Vandløb",0.2,471479,6112090,"Oxygenmætning"," =",69.1,"pct",2
"VEJLESØ, MIDT","21.08.2003 12.00.00 +02:00","Vandløb",0.85,717014,6190183,"Oxygenmætning"," =",79.8,"pct",2
"SARUP SØ ST AMT","09.07.1990 12.00.00 +02:00","Vandløb",1.5,567954,6118169,"Oxygenmætning"," =",97,"pct",2
"TJELE LANGSØ, Vandkemi","09.11.2011 12.00.00 +01:00","Vandløb",9.76,538029,6265253,"Oxygenmætning"," =",84,"pct",2
