"StedID","Stedtekst","Medie","Vandområde","Dato","Prøvetype","Målested, x-koordinat","Målested, y-koordinat","Dybde (m)","Faktiske dybder (m)","Analysefraktion","Stofparameter","Resultat-attribut","Resultat","Enhed","Detektionsgrænse LD","Kvantifikationsgrænse LQ","Kvalitetsmærke"
98110008,"6500054","Marin","Vejsnæs Bugt","24.08.1977 12.00.00 +01:00","Enkeltprøve",600251.4022606106,6077454.345974457,1,"1","Ej oplyst","Primær produktion assimilieret Carbon, potentielt"," =",12.15,"mg/(m3*h)",9999999,NA,1
96100015,"6700053","Marin","Storebælt, Øst","16.04.2009 12.00.00 +02:00","Enkeltprøve",617621.3238715504,6152880.790790793,5,"5","Total","Phosphor, total-P"," =",14,"µg/l",9999999,NA,3
93760002,"Agerø Bredning, Nees Sund","Marin","Agerø Bredning, Nees Sund","27.10.1982 12.00.00 +01:00","Enkeltprøve",471462.8883920531,6286890.564509729,4.6,"4,6","Total","Glødetab,susp.stof"," =",1.2,"mg/l",9999999,NA,2
95200004,"6100051","Marin","Lillebælt, Snævringen","06.12.2001 12.00.00 +01:00","Enkeltprøve",547803.1614290134,6156742.453839152,43.6,"43,6","Ej oplyst","Oxygen indhold"," =",9.94,"mg/l",9999999,NA,2
93720002,"Nibe Og Gjøl Bredning","Marin","Nibe Bredning","10.09.1986 12.00.00 +02:00","Enkeltprøve",537499.0647924436,6321282.773266444,6,"6","Total","Chlorophyl (ukorrigeret)"," =",3,"µg/l",9999999,NA,2
99000001,"Bøje station","Marin","Østersøen, åbne del","02.06.1999 12.00.00 +02:00","Enkeltprøve",717468.0687002982,6080497.846432806,20.9,"20,9","Opløst - filtrat fra filtrering","Silicium"," =",291,"µg/l",9999999,NA,2
99350002,"Midt i Præstø Fjord","Marin","Præstø Fjord","14.06.2011 12.00.00 +02:00","Enkeltprøve",694435.9492629255,6116490.057844064,1,"1","Total","pH"," =",8.22,"pH",9999999,NA,1
94230001,"ODF17","Marin","Odense Fjord, ydre del","29.12.1999 12.00.00 +01:00","Enkeltprøve",596013.3376373918,6149163.600448473,1,"1","Ej oplyst","Ortho-phosphat-P"," =",40,"µg/l",9999999,NA,2
96530017,"7502001","Marin","Vejlen","09.09.1993 12.00.00 +02:00","Enkeltprøve",592081.4451306674,6089932.162585695,1,"1","Ej oplyst","Oxygen indhold"," =",8.5,"mg/l",9999999,NA,2
93500005,"Ud for Randers Fjord","Marin","Kattegat, Hevring Bugt","18.01.2005 12.00.00 +01:00","Enkeltprøve",588590.8430755982,6274906.050729174,1,"1","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",22,"µg/l",9999999,NA,2
92200001,"Hirtshals 15 m","Marin","Skagerrak, Jammerbugten","04.12.2002 12.00.00 +01:00","Enkeltprøve",554693.855531772,6385419.266756418,1,"1","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",69.7,"µg/l",9999999,NA,2
93530076,"Udbyhøj","Marin","Randers Fjord, ydre del","24.11.1997 12.00.00 +01:00","Enkeltprøve",579626.919700555,6274355.931697767,0.5,"0,5","Ej oplyst","Chlorophyl (ukorrigeret)"," =",2.4,"µg/l",9999999,NA,2
94230004,"6900007","Marin","Seden Strand","21.05.1986 12.00.00 +02:00","Enkeltprøve",592253.5466352224,6149064.463810988,2.4,"2,4","Ej oplyst","Primær produktion assimilieret Carbon, integreret"," =",62.51,"mg/(m3*d)",9999999,NA,1
97200002,"720 Øresund, nord, åbne del","Marin","Øresund","24.04.1989 12.00.00 +02:00","Enkeltprøve",734621.8290305485,6197599.183219807,30,"30","Total","Nitrit-N"," =",2,"µg/l",9999999,NA,2
93900003,"DMU station 403","Marin","Kattegat, Aalbæk Bugt","21.01.2025 12.00.00 +01:00","Enkeltprøve",605143.8344727724,6352128.8617638955,5,"5","Opløst - filtrat fra filtrering","Silicium"," =",490,"µg/l",5,NA,2
94260002,"0018002","Marin","Nærå strand","03.06.1982 12.00.00 +02:00","Enkeltprøve",581118.4380075192,6160885.605480858,0.2,"0,2","Ej oplyst","Phosphor, total-P"," =",204,"µg/l",9999999,NA,2
99000049,"910 Bornholm, åbne del","Marin","Østersøen, åbne del","11.07.1984 12.00.00 +02:00","Enkeltprøve",943545.1619785636,6144866.5376737,80,"80","Ej oplyst","Oxygen indhold"," =",0.43,"mg/l",9999999,NA,2
93220004,"322 Roskilde Fjord","Marin","Frederiksværk Bredning","13.09.1994 12.00.00 +02:00","Blandingsprøve",688892.6812603791,6201824.818411441,3.3333333333333335,"6; 3; 1","Ej oplyst","Ortho-phosphat-P","<",5,"µg/l",9999999,NA,2
95910001,"Als fjord","Marin","Als Fjord","26.08.2020 12.00.00 +02:00","Enkeltprøve",543657.507841681,6095727.784090831,21.6,"21,6","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",99,"µg/l",9999999,NA,2
91240001,"Bøvling Fjord","Marin","Bøvling Fjord","17.06.2025 12.00.00 +02:00","Enkeltprøve",447670.6489844605,6250087.576301077,1,"1","Opløst - filtrat fra filtrering","Silicium"," =",1600,"µg/l",5,NA,2
93220011,"322 Roskilde Fjord","Marin","Roskilde Bredning","13.05.1997 12.00.00 +02:00","Blandingsprøve",692642.6772302547,6178399.248087393,2,"3,9; 1,2; 0,5; 2,4","Ej oplyst","Silicium"," =",950,"µg/l",9999999,NA,2
96110002,"611 Kalundborg Fjord","Marin","Kalundborg fjord","09.01.2001 12.00.00 +01:00","Enkeltprøve",621802.0209164515,6175265.548960358,1,"1","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",25,"µg/l",9999999,NA,2
94260001,"0018001","Marin","Nærå strand","05.07.2000 12.00.00 +02:00","Enkeltprøve",581571.3019451682,6163083.2096917275,0.2,"0,2","Ej oplyst","Nitrogen,total N"," =",680,"µg/l",9999999,NA,2
95130002,"Vejle Fjord","Marin","Holtser Hage","07.10.2002 12.00.00 +02:00","Enkeltprøve",541999.9598629996,6173357.343589931,1,"1","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",22,"µg/l",9999999,NA,2
95260002,"Kolding Fjord","Marin","Strandhuse","25.08.1998 12.00.00 +02:00","Enkeltprøve",533381.1481189213,6149743.97039899,1,"1","Partikelbundet - fra filteret","Chlorophyl A"," =",6.7,"µg/l",9999999,NA,2
93740007,"VIB3727-00001","Marin","Skive Fjord","25.09.2002 12.00.00 +02:00","Enkeltprøve",504684.0612915357,6275238.369762819,1,"1","Opløst - filtrat fra filtrering","Silicium"," =",1000,"µg/l",9999999,NA,2
96520006,"6500033","Marin","Svendborg Sund, åbne del","12.03.2002 12.00.00 +01:00","Enkeltprøve",603678.9914344284,6102546.161889024,8.1,"8,1","Ej oplyst","Nitrogen,total N"," =",400,"µg/l",9999999,NA,2
94300001,"Nordlige Lillebælt","Marin","Nordlige Bælthav, Fyn, Nord","04.05.1999 12.00.00 +02:00","Enkeltprøve",568514.1459732627,6170650.93276987,19,"19","Total","Nitrogen,total N"," =",770,"µg/l",9999999,NA,2
93760006,"Thisted Bredning","Marin","Thisted Bredning","09.06.2020 12.00.00 +02:00","Enkeltprøve",484019.5036646684,6308511.425014464,1,"1","Total","Phosphor, total-P"," =",27,"µg/l",9999999,NA,2
97200002,"720 Øresund, nord, åbne del","Marin","Øresund","23.08.1993 12.00.00 +02:00","Enkeltprøve",734621.8290305485,6197599.183219807,20,"20","Total","Nitrat-N"," =",50,"µg/l",9999999,NA,2
95410009,"6200026","Marin","Torø Vig","25.09.2017 12.00.00 +02:00","Enkeltprøve",555935.1797420509,6123676.959573964,1,"1","Total","Oxygen indhold"," =",9.02,"mg/l",9999999,NA,3
94300001,"Nordlige Lillebælt","Marin","Nordlige Bælthav, Fyn, Nord","17.03.2004 12.00.00 +01:00","Enkeltprøve",568529.0176593249,6170372.887549035,1,"1","Partikelbundet - fra filteret","Phosphor, total-P"," =",14,"µg/l",9999999,NA,2
96600005,"6500053","Marin","Langelandssundet","03.08.1994 12.00.00 +02:00","Enkeltprøve",615079.6668659594,6103623.400418141,1,"1","Partikelbundet - fra filteret","Chlorophyl A"," =",3.3,"µg/l",9999999,NA,2
96210002,"vmpr 51013","Marin","Skælskør Fjord","17.01.2012 12.00.00 +01:00","Enkeltprøve",645083.7269954835,6124814.054524119,1,"1","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",0.9,"µg/l",9999999,NA,3
93210005,"321 Isefjord Yderbredning","Marin","Isefjord Yderbredning","04.03.1993 12.00.00 +01:00","Enkeltprøve",674994.8217993025,6194813.489332025,9,"9","Total","Nitrogen,total N"," =",580,"µg/l",9999999,NA,2
93740011,"Lovns Bredning","Marin","Lovns Bredning","29.02.2000 12.00.00 +01:00","Enkeltprøve",514875.46224583674,6279621.716447286,1,"1","Total","Ammoniak+ammonium-N"," =",26,"µg/l",9999999,NA,2
96100014,"6700051","Marin","Storebælt, Øst","13.04.1989 12.00.00 +02:00","Enkeltprøve",627625.8356240167,6115526.4877909655,1,"1","Partikelbundet - fra filteret","Chlorophyl A"," =",1.4,"µg/l",9999999,NA,2
94300013,"Mejl Flak Vest","Marin","Nordlige Bælthav, Fyn, Nord","21.11.2019 12.00.00 +01:00","Enkeltprøve",586697.5411260466,6211848.254954258,1,"1","Total","Oxygen indhold"," =",10.19,"mg/l",9999999,NA,2
91240001,"Bøvling Fjord","Marin","Bøvling Fjord","17.11.1987 12.00.00 +01:00","Blandingsprøve",447671.1056472113,6250124.635343758,0.95,"0,2; 1,7","Total","Nitrogen,total N"," =",1810,"µg/l",9999999,NA,2
93770031,"Nissum Bredning, Midt","Marin","Nissum Bredning, Midt","22.10.2013 12.00.00 +02:00","Enkeltprøve",464093.06883869215,6273069.871168982,1,"1","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",5.1,"µg/l",9999999,NA,3
96250088,"Vigsø Skal","Marin","Guldborg Sund, Nord","16.12.2004 12.00.00 +01:00","Enkeltprøve",672131.9134395155,6089592.881251104,1,"1","Total","Oxygen indhold"," =",11.11,"mg/l",9999999,NA,2
96520007,"6500034","Marin","Svendborg Sund, åbne del","04.10.1977 12.00.00 +01:00","Enkeltprøve",599490.9413536518,6099608.369040401,1,"1","Ej oplyst","Nitrit+nitrat-N"," =",5,"µg/l",9999999,NA,2
95720006,"Flensborg fjord","Marin","Aggersund","04.10.1994 12.00.00 +01:00","Enkeltprøve",539007.3529926512,6079289.00168675,15,"15","Total","Nitrogen,total N"," =",420,"µg/l",9999999,NA,2
94400007,"ARH170006","Marin","Aarhus Bugt","16.03.2017 12.00.00 +01:00","Enkeltprøve",581924.931683433,6224099.278036143,15.6,"15,6","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",74,"µg/l",9999999,NA,3
96600005,"6500053","Marin","Langelandssundet","23.11.1987 12.00.00 +01:00","Enkeltprøve",615079.6668659594,6103623.400418141,12,"12","Ej oplyst","Ortho-phosphat-P"," =",25,"µg/l",9999999,NA,2
99150001,"915 Bornholm, syd","Marin","Bornholm, Syd","25.11.1996 12.00.00 +01:00","Enkeltprøve",877218.1033590278,6112869.966923738,1,"1","Ej oplyst","Salinitet"," =",7.38,"promille",9999999,NA,2
94230001,"ODF17","Marin","Odense Fjord, ydre del","11.06.1992 12.00.00 +02:00","Enkeltprøve",596013.3376373918,6149163.600448473,8,"8","Ej oplyst","Nitrogen,total N"," =",700,"µg/l",9999999,NA,2
93100009,"DMU station 922","Marin","Kattegat, Hesselø Bugt, Øst","26.02.2019 12.00.00 +01:00","Enkeltprøve",673839.7154506138,6228011.974329777,15,"15","Total","Phosphor, total-P"," =",18,"µg/l",9999999,NA,2
94230001,"ODF17","Marin","Odense Fjord, ydre del","24.06.1999 12.00.00 +02:00","Enkeltprøve",596013.3376373918,6149163.600448473,8,"8","Ej oplyst","Silicium"," =",560,"µg/l",9999999,NA,2
91240002,"Nissum Fjord","Marin","Nissum Mellemfjord","13.08.2015 12.00.00 +02:00","Enkeltprøve",451208.939286351,6244572.443963045,1,"1","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",14,"µg/l",9999999,NA,3
95620002,"0018232","Marin","Nørrefjord","09.09.1992 12.00.00 +02:00","Enkeltprøve",568491.2205146827,6113791.488120718,9.5,"9,5","Ej oplyst","Nitrogen,total N"," =",621,"µg/l",9999999,NA,2
96510008,"6400046","Marin","Ringgård Bassin, åbne del","28.04.1977 12.00.00 +01:00","Enkeltprøve",582709.7308291703,6102419.992848711,5,"5","Ej oplyst","Primær produktion assimilieret Carbon, potentielt"," =",10.35,"mg/(m3*h)",9999999,NA,1
96100014,"6700051","Marin","Storebælt, Øst","09.12.1985 12.00.00 +01:00","Enkeltprøve",627625.8356240167,6115526.4877909655,7.1,"7,1","Ej oplyst","Primær produktion assimilieret Carbon, integreret"," =",0.9,"mg/(m3*d)",9999999,NA,1
94330003,"Horsens Fjord","Marin","Brakør-Alrø","28.09.1977 12.00.00 +01:00","Enkeltprøve",560237.9818866275,6189456.825073481,0.3,"0,3","Ej oplyst","Nitrit+nitrat-N"," =",9,"µg/l",9999999,NA,2
93720009,"Hjarbæk Fjord","Marin","Hjarbæk Fjord","15.05.1997 12.00.00 +02:00","Enkeltprøve",518010.0657791521,6272899.712061092,0.2,"0,2","Total","Nitrogen,total N"," =",1800,"µg/l",9999999,NA,2
96720001,"0018751","Marin","Holckenhavn Fjord","26.07.1996 12.00.00 +02:00","Enkeltprøve",611523.5715323439,6129229.071590401,0.5,"0,5","Partikelbundet - fra filteret","Chlorophyl A"," =",17,"µg/l",9999999,NA,2
96530012,"6500062","Marin","Vejlen","28.08.1996 12.00.00 +02:00","Enkeltprøve",597089.9798447206,6087459.100142771,0.5,"0,5","Ej oplyst","Oxygen indhold"," =",6.4,"mg/l",9999999,NA,2
93530079,"Nær holdeplads ved Floes","Marin","Randers Fjord, indre del","11.05.1983 12.00.00 +02:00","Enkeltprøve",576619.4720426748,6259030.776965745,0,"0","Ej oplyst","Phosphor, total-P"," =",202,"µg/l",9999999,NA,2
95920001,"Augustenborg fjord","Marin","Augustenborg Fjord","28.01.1998 12.00.00 +01:00","Enkeltprøve",552775.4150254284,6089501.120068157,1,"1","Opløst - filtrat fra filtrering","Nitrat-N"," =",860,"µg/l",9999999,NA,2
94230242,"6900719","Marin","Odense Fjord, ydre del","16.12.1996 12.00.00 +01:00","Enkeltprøve",599059.9270102901,6152613.761001264,0,"0","Ej oplyst","Phosphor, total-P"," =",36,"µg/l",9999999,NA,2
91310001,"Vesterhavet","Marin","Vedersø-Ringkøbing Fjord","21.09.1992 12.00.00 +02:00","Blandingsprøve",443502.91576692695,6225929.622260254,3.566666666666667,"2,1; 0,2; 8,4","Total","Glødetab,susp.stof"," =",1.7,"mg/l",9999999,NA,2
97210013,"721 Amager/Svanemøllebugten","Marin","Københavns havn, nord","02.12.1996 12.00.00 +01:00","Blandingsprøve",727047.5522861036,6176917.528026035,1.2,"1,2","Ej oplyst","Nitrit+nitrat-N"," =",8,"µg/l",9999999,NA,2
95300001,"6100021","Marin","Lillebælt, Bredningen,Nord","26.08.2015 12.00.00 +02:00","Enkeltprøve",545816.2144805812,6142877.782917916,28.6,"28,6","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",5.1,"µg/l",9999999,NA,3
99000049,"910 Bornholm, åbne del","Marin","Østersøen, åbne del","09.11.2020 12.00.00 +01:00","Enkeltprøve",943545.1619785636,6144866.5376737,1,"1","Total","Oxygen indhold"," =",10.07,"mg/l",9999999,NA,2
93740007,"VIB3727-00001","Marin","Skive Fjord","26.04.2004 12.00.00 +02:00","Enkeltprøve",504653.3589959844,6275256.9242594335,1,"1","Total","Oxygen indhold"," =",9.39,"mg/l",9999999,NA,2
95820001,"Åbenrå fjord","Marin","Åbenrå Fjord","17.09.2014 12.00.00 +02:00","Enkeltprøve",530083.2075852399,6098379.3870172985,25.8,"25,8","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",72,"µg/l",9999999,NA,2
99200001,"Darss Tærsklen","Marin","Østersøen, Falster-Møn, Øst","14.08.2002 12.00.00 +02:00","Enkeltprøve",713827.6182264052,6087791.440287309,15,"15","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",12.2,"µg/l",9999999,NA,2
95130004,"Vejle Fjord","Marin","Træsko Hage","06.09.1982 12.00.00 +02:00","Enkeltprøve",546255.6215301601,6169527.166743197,0.8,"0,8","Total","Nitrogen,total N"," =",270,"µg/l",9999999,NA,2
96100015,"6700053","Marin","Storebælt, Øst","02.02.2004 12.00.00 +01:00","Enkeltprøve",617597.4847568087,6152867.23567505,5,"5","Opløst - filtrat fra filtrering","Silicium"," =",390,"µg/l",9999999,NA,2
97120010,"712 Køge Bugt","Marin","Køge Bugt, åbne del","28.08.2017 12.00.00 +02:00","Enkeltprøve",716229.2632422487,6154962.810329575,12.4,"12,4","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",1.68,"µg/l",9999999,NA,3
93720002,"Nibe Og Gjøl Bredning","Marin","Nibe Bredning","05.01.2005 12.00.00 +01:00","Enkeltprøve",537682.1156968737,6321063.643949881,1,"1","Total","Ammoniak+ammonium-N"," =",140,"µg/l",9999999,NA,2
96720065,"0016607","Marin","Nyborg Fjord, åbne del","21.07.1988 12.00.00 +02:00","Enkeltprøve",614064.4741026834,6129646.472461512,4.05,"4,05","Ej oplyst","Primær produktion assimilieret Carbon, potentielt"," =",24.23,"mg/(m3*h)",9999999,NA,1
95600003,"6300050","Marin","Lillebælt, Syd","21.02.1989 12.00.00 +01:00","Enkeltprøve",578010.1969535331,6084897.729494825,0.1,"0,1","Ej oplyst","Primær produktion assimilieret Carbon, potentielt"," =",5.11,"mg/(m3*h)",9999999,NA,1
94400007,"ARH170006","Marin","Aarhus Bugt","18.04.2005 12.00.00 +02:00","Enkeltprøve",581916.2532325432,6224065.713214891,15.6,"15,6","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",98,"µg/l",9999999,NA,2
93720009,"Hjarbæk Fjord","Marin","Hjarbæk Fjord","17.04.1997 12.00.00 +02:00","Enkeltprøve",517960.8981536935,6272435.675257136,4.6,"4,6","Total","Carbon, organisk TOC"," =",7.5,"mg/l",9999999,NA,2
95710002,"Okseøerne","Marin","Flensborg inderfjord","22.01.2018 12.00.00 +01:00","Enkeltprøve",531190.1414152771,6077187.784417682,1,"1","Total","Phosphor, total-P"," =",36,"µg/l",9999999,NA,3
95300001,"6100021","Marin","Lillebælt, Bredningen,Nord","07.04.1987 12.00.00 +02:00","Enkeltprøve",545692.8196095304,6142772.550436986,1.9,"1,9","Ej oplyst","Primær produktion assimilieret Carbon, integreret"," =",83.5,"mg/(m3*d)",9999999,NA,1
93720007,"Ålborg Havneområde","Marin","Aalborg Havn","05.11.1987 12.00.00 +01:00","Enkeltprøve",557245.2441426669,6323532.883182937,0.2,"0,2","Opløst - filtrat fra filtrering","Silicium"," =",2500,"µg/l",9999999,NA,2
99200001,"Darss Tærsklen","Marin","Østersøen, Falster-Møn, Øst","14.10.2002 12.00.00 +02:00","Enkeltprøve",713735.9835616754,6087917.154267885,22,"22","Partikelbundet - fra filteret","Chlorophyl A"," =",3.454,"µg/l",9999999,NA,2
95200001,"6100018","Marin","Lillebælt, Snævringen","28.05.1980 12.00.00 +02:00","Enkeltprøve",552974.4807454726,6159959.198151811,0.5,"0,5","Ej oplyst","Primær produktion assimilieret Carbon, integreret"," =",485.2,"mg/(m3*d)",9999999,NA,1
97100006,"710 Øresund, syd, åbne del","Marin","Øresund, Syd","28.09.1998 12.00.00 +02:00","Enkeltprøve",736351.0959524328,6160794.668791394,8.8,"8,8","Ej oplyst","Chlorophyl A"," =",1.8,"µg/l",9999999,NA,2
95920001,"Augustenborg fjord","Marin","Augustenborg Fjord","18.09.2013 12.00.00 +02:00","Enkeltprøve",552762.2827036881,6089348.83261936,1,"1","Total","Phosphor, total-P"," =",18,"µg/l",9999999,NA,3
96510005,"0018361","Marin","Nakkebølle Fjord","07.03.2019 12.00.00 +01:00","Enkeltprøve",587715.8572718722,6102613.861714568,0.5,"0,5","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",11.4,"µg/l",9999999,NA,2
93220004,"322 Roskilde Fjord","Marin","Frederiksværk Bredning","05.08.2004 12.00.00 +02:00","Enkeltprøve",688855.7426449916,6201906.790911474,1.6,"1,6","Ej oplyst","Chlorophyl A"," =",8.5,"µg/l",9999999,NA,2
99000053,"DMU station 449","Marin","Østersøen, åbne del","19.02.2025 12.00.00 +01:00","Enkeltprøve",716388.900809436,6077733.442651833,5,"5","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N","<",3,"µg/l",3,NA,2
96420001,"NV for Kåreholm","Marin","Nakskov Fjord","28.11.2022 12.00.00 +01:00","Enkeltprøve",631130.9802740243,6077153.237148714,1,"1","Total","Phosphor, total-P"," =",17,"µg/l",3,NA,2
96700015,"6600005","Marin","Storebælt, Vest","24.09.1985 12.00.00 +02:00","Enkeltprøve",618622.2552889555,6125498.239101991,1,"1","Ej oplyst","Primær produktion, 24 timers maximum"," =",1254.1,"mg/(m2*d)",9999999,NA,1
96400041,"DMU station 443","Marin","Langelands Bælt","16.08.2021 12.00.00 +02:00","Enkeltprøve",629898.1738401015,6102244.973636259,20,"20","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",1.08,"µg/l",0.3,NA,2
99000052,"DMU station 444","Marin","Østersøen","14.02.2023 12.00.00 +01:00","Enkeltprøve",774976.3419861463,6103250.342244981,10,"10","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",2.79,"µg/l",0.3,NA,2
96250088,"Vigsø Skal","Marin","Guldborg Sund, Nord","08.12.2009 12.00.00 +01:00","Enkeltprøve",672188.1975704796,6089602.506470696,7.2,"7,2","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",33,"µg/l",9999999,NA,3
96100015,"6700053","Marin","Storebælt, Øst","01.03.2010 12.00.00 +01:00","Enkeltprøve",617572.6228890384,6152929.592041674,32.6,"32,6","Total","Nitrogen,total N"," =",2400,"µg/l",9999999,NA,3
96530014,"6500099","Marin","Lindelse Nor","12.05.1977 12.00.00 +01:00","Enkeltprøve",609136.301633858,6084247.722761536,1,"1","Ej oplyst","Primær produktion, 24 timers maximum"," =",355.4,"mg/(m2*d)",9999999,NA,1
91320001,"Ringkøbing Fjord","Marin","Ringkøbing Fjord, nord","19.07.2012 12.00.00 +02:00","Enkeltprøve",451721.1692838938,6215013.426833959,2,"2","Total","Primær produktion assimilieret Carbon, integreret"," =",604.31,"mg/(m2*d)",9999999,NA,1
94510019,"ARH1600031","Marin","Ebeltoft Vig","09.03.2021 12.00.00 +01:00","Enkeltprøve",599371.5631470861,6230540.361777677,12.4,"12,4","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N","<",3,"µg/l",3,NA,2
94330002,"Husodde","Marin","Husodde","22.10.2002 12.00.00 +02:00","Enkeltprøve",556794.3371932554,6189890.85665235,1,"1","Ej oplyst","Chlorophyl A"," =",7.31,"µg/l",9999999,NA,2
94300001,"Nordlige Lillebælt","Marin","Nordlige Bælthav, Fyn, Nord","09.05.2006 12.00.00 +02:00","Enkeltprøve",568573.9573718247,6170379.159272914,13.4,"13,4","Partikelbundet - fra filteret","Chlorophyl A"," =",5.34,"µg/l",9999999,NA,1
93720002,"Nibe Og Gjøl Bredning","Marin","Nibe Bredning","07.09.1994 12.00.00 +02:00","Enkeltprøve",537719.7293183089,6321379.362635712,1.7,"1,7","Total","Alkalinitet,total TA"," =",1.89,"meq/l",9999999,NA,2
93740007,"VIB3727-00001","Marin","Skive Fjord","22.05.2006 12.00.00 +02:00","Enkeltprøve",504673.9985119745,6275127.049959128,4.7,"4,7","Total","Oxygen indhold"," =",5.8,"mg/l",9999999,NA,2
93750006,"VIB3705-00001","Marin","Kås Bredning","17.01.1994 12.00.00 +01:00","Enkeltprøve",481914.86470806965,6279244.711251512,3,"3","Total","Chlorophyl (ukorrigeret)"," =",2,"µg/l",9999999,NA,2
97100006,"710 Øresund, syd, åbne del","Marin","Øresund, Syd","17.01.2008 12.00.00 +01:00","Enkeltprøve",734303.6224603421,6160723.661160523,1,"1","Total","Oxygen indhold"," =",11.8,"mg/l",9999999,NA,3
94300001,"Nordlige Lillebælt","Marin","Nordlige Bælthav, Fyn, Nord","11.05.2010 12.00.00 +02:00","Enkeltprøve",568559.9068268517,6170408.658621161,5,"5","Total","Phosphor, total-P"," =",13,"µg/l",9999999,NA,3
99000052,"DMU station 444","Marin","Østersøen","01.04.2016 12.00.00 +02:00","Enkeltprøve",775086.5291101098,6103249.649568647,5,"5","Opløst - filtrat fra filtrering","Nitrit+nitrat-N","<",1,"µg/l",9999999,NA,2
91300001,"Vesterhavet","Marin","Nordsøen, Vedersø-Nymindegab","25.06.1992 12.00.00 +02:00","Blandingsprøve",435846.1188984836,6226037.504396044,2.316666666666667,"5,4; 0,2; 1,35","Ej oplyst","Glødetab,susp.stof"," =",5.3,"mg/l",9999999,NA,2
94330002,"Husodde","Marin","Husodde","30.01.2020 12.00.00 +01:00","Enkeltprøve",556803.9466338737,6189874.286305132,1,"1","Opløst - filtrat fra filtrering","Silicium"," =",700,"µg/l",9999999,NA,2
96600001,"6500002","Marin","Langelandssundet","20.09.1976 12.00.00 +01:00","Enkeltprøve",609523.5743355782,6094647.791837893,7.5,"7,5","Ej oplyst","Oxygen indhold"," =",8.7,"mg/l",9999999,NA,2
95200004,"6100051","Marin","Lillebælt, Snævringen","11.11.2003 12.00.00 +01:00","Enkeltprøve",547803.1614290134,6156742.453839152,38.6,"38,6","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",3.9,"µg/l",9999999,NA,2
95820001,"Åbenrå fjord","Marin","Åbenrå Fjord","27.10.2011 12.00.00 +02:00","Enkeltprøve",530082.9948470317,6098410.99005302,1,"1","Total","Phosphor, total-P"," =",37,"µg/l",9999999,NA,3
93000012,"DMU station 1008","Marin","Kattegat, åbne del","16.02.2022 12.00.00 +01:00","Enkeltprøve",613968.7750064417,6370742.829858816,15,"15","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",97,"µg/l",1.5,NA,2
98110001,"0018511","Marin","Aggersund","01.07.1981 12.00.00 +02:00","Enkeltprøve",608139.084962697,6069463.941642777,0.2,"0,2","Ej oplyst","Ortho-phosphat-P"," =",256,"µg/l",9999999,NA,2
91500002,"Blåvand-Landegrænse, åbne del","Marin","Nordsøen, Blåvand-Landegrænsen","22.08.1989 12.00.00 +02:00","Blandingsprøve",437830.8894354853,6147163.1602572,1.9,"0; 3,8","Total","Nitrogen,total N"," =",416,"µg/l",9999999,NA,2
91650001,"Lister Dyb","Marin","Lister Dyb, Tyske del","17.10.2007 12.00.00 +02:00","Enkeltprøve",466354.7502595189,6100853.043400826,1,"1","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",76,"µg/l",9999999,NA,3
96200006,"5 sm. NNV for Vejrø","Marin","Småvandsfarvandet, Vest","14.08.2018 12.00.00 +02:00","Enkeltprøve",648343.8387528453,6109632.199505477,1,"1","Total","Oxygen indhold"," =",8.64,"mg/l",9999999,NA,3
93740012,"Lovns Bredning","Marin","Lovns Bredning","17.11.1981 12.00.00 +01:00","Enkeltprøve",518043.5354233741,6277036.912098451,4.5,"4,5","Total","COD, susp.stof "," =",3.2,"mg/l",9999999,NA,1
97120010,"712 Køge Bugt","Marin","Køge Bugt, åbne del","15.09.2021 12.00.00 +02:00","Enkeltprøve",716244.48412107,6155017.4127895655,12.2,"12,2","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",3.8,"µg/l",1.5,NA,2
