"StedID","Stedtekst","Medie","Vandområde","Dato","Prøvetype","Målested, x-koordinat","Målested, y-koordinat","Dybde (m)","Faktiske dybder (m)","Analysefraktion","Stofparameter","Resultat-attribut","Resultat","Enhed","Detektionsgrænse LD","Kvantifikationsgrænse LQ","Kvalitetsmærke"
93740005,"Risgårde Bredning, Hvalpsund","Marin","Risgårde Bredning, Hhvalpsund","27.10.1981 12.00.00 +01:00","Enkeltprøve",508578.2049859705,6281459.35002138,0.2,"0,2","Total","Chlorid"," =",13000,"mg/l",9999999,NA,2
96210002,"vmpr 51013","Marin","Skælskør Fjord","15.07.1991 12.00.00 +02:00","Enkeltprøve",645070.4253277209,6124800.588432679,1,"1","Total","Phosphor, total-P"," =",140,"µg/l",9999999,NA,2
93610032,"Dybet","Marin","Mariager Fjord, midter del","30.04.1996 12.00.00 +02:00","Blandingsprøve",559761.8472270346,6280335.569580259,5.033333333333333,"8; 6; 4; 2; 0,2; 10","Ej oplyst","Silicium"," =",2500,"µg/l",9999999,NA,2
96520006,"6500033","Marin","Svendborg Sund, åbne del","16.05.1994 12.00.00 +02:00","Enkeltprøve",603678.9914344284,6102546.161889024,7.7,"7,7","Ej oplyst","Primær produktion assimilieret Carbon, integreret"," =",11.2,"mg/(m3*d)",9999999,NA,1
93000017,"DMU station 905","Marin","Hesselø Bugt, Vest, åbne del","12.09.2023 12.00.00 +02:00","Enkeltprøve",660785.880423229,6341043.30342747,40,"40","Total","Nitrogen,total N"," =",140,"µg/l",14,NA,2
93000014,"DMU station 413","Marin","Hesselø Bugt, Vest, åbne del","19.12.2023 12.00.00 +01:00","Enkeltprøve",690974.6722834498,6284808.7328989385,50,"50","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",28,"µg/l",1,NA,2
93000001,"300 Kattegat, åbne del","Marin","Kattegat, åbne del","02.04.2013 12.00.00 +02:00","Enkeltprøve",634043.7697793753,6222810.537957753,5.2,"5,2","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",0.9,"µg/l",9999999,NA,3
93000014,"DMU station 413","Marin","Hesselø Bugt, Vest, åbne del","16.05.2024 12.00.00 +02:00","Enkeltprøve",690974.6722834498,6284808.7328989385,40,"40","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N","<",3,"µg/l",3,NA,2
93000005,"DMU station 409","Marin","Kattegat, åbne del","02.06.2005 12.00.00 +02:00","Enkeltprøve",609250.9018507337,6302861.386463148,11.2,"11,2","Total","Alkalinitet,total TA"," =",2.26,"meq/l",9999999,NA,2
91240001,"Bøvling Fjord","Marin","Bøvling Fjord","13.11.1996 12.00.00 +01:00","Blandingsprøve",447218.4316438051,6250130.237594046,0.65,"1,4; 0,35; 0,2","Total","Alkalinitet,total TA"," =",1.4,"meq/l",9999999,NA,2
96540015,"7501911","Marin","Ringsgård Bassin","18.12.2024 12.00.00 +01:00","Enkeltprøve",587436.7354747759,6089913.390603052,1,"1","Total","Oxygen indhold"," =",10.51,"mg/l",0.2,NA,2
96100015,"6700053","Marin","Storebælt, Øst","20.03.1989 12.00.00 +01:00","Enkeltprøve",617597.4847568087,6152867.23567505,33,"33","Ej oplyst","Phosphor, total-P"," =",58,"µg/l",9999999,NA,2
93220005,"322 Roskilde Fjord","Marin","Frederiksværk Bredning","16.06.2003 12.00.00 +02:00","Enkeltprøve",682670.4188620639,6203711.596380239,10.6,"10,6","Ej oplyst","Oxygen indhold"," =",8.4,"mg/l",9999999,NA,2
96100015,"6700053","Marin","Storebælt, Øst","12.12.2007 12.00.00 +01:00","Enkeltprøve",617597.4847568087,6152867.23567505,5,"5","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",34,"µg/l",9999999,NA,3
93900003,"DMU station 403","Marin","Kattegat, Aalbæk Bugt","02.07.2019 12.00.00 +02:00","Enkeltprøve",604980.4288205656,6352271.34940135,0,"0","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",3,"µg/l",9999999,NA,2
91320001,"Ringkøbing Fjord","Marin","Ringkøbing Fjord, nord","29.11.2006 12.00.00 +01:00","Enkeltprøve",451721.1692838938,6215013.426833959,2.9,"2,9","Opløst - filtrat fra filtrering","Silicium"," =",2100,"µg/l",9999999,NA,2
96510010,"6400048","Marin","Fåborg Fjord","27.09.1982 12.00.00 +01:00","Enkeltprøve",579031.5273734024,6105692.538310091,1,"1","Ej oplyst","Ammoniak+ammonium-N"," =",50,"µg/l",9999999,NA,2
93770030,"Nissum Bredning, Vest","Marin","Nordsøen, Thyborøn-Vedersø","11.08.1992 12.00.00 +02:00","Enkeltprøve",452706.3298419616,6285186.180666939,0.2,"0,2","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",16,"µg/l",9999999,NA,2
99000049,"910 Bornholm, åbne del","Marin","Østersøen, åbne del","02.04.1984 12.00.00 +02:00","Enkeltprøve",943545.1619785636,6144866.5376737,1,"1","Opløst - filtrat fra filtrering","Nitrit-N"," =",1.54,"µg/l",9999999,NA,2
91610004,"Grådyb tidevandsområde","Marin","Grådyb, Tidevandsområde","11.06.2003 12.00.00 +02:00","Enkeltprøve",463373.0702154657,6148211.723522638,1,"1","Total","Phosphor, total-P"," =",61,"µg/l",9999999,NA,2
91650001,"Lister Dyb","Marin","Lister Dyb, Tyske del","04.07.1991 12.00.00 +02:00","Enkeltprøve",466356.42720581015,6101075.600176144,1,"1","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",2,"µg/l",9999999,NA,2
96140001,"vmpr 44011","Marin","Korsør Nor","11.05.2000 12.00.00 +02:00","Enkeltprøve",638170.3776183387,6134547.178079944,0.5,"0,5","Opløst - filtrat fra filtrering","Silicium"," =",33,"µg/l",9999999,NA,2
93720011,"Halkær midt","Marin","Halkær Bredning","31.07.2013 12.00.00 +02:00","Dybdeintegreret prøve",534140.9746368676,6311255.353607637,99,"","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",150,"µg/l",9999999,NA,3
