"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"GRANE LANGSØ, MIDT","28.11.2002 12.00.00 +01:00","Marin",0.2,528200,6208143,"Oxygenmætning"," =",89,"pct",2
"SIBIRIEN  AMT ST","30.09.1999 12.00.00 +02:00","Marin",2.75,725115,6099805,"Oxygen indhold"," =",0.1,"mg/l",2
"Grærup Sø - vandkemi","10.07.2014 12.00.00 +02:00","Marin",6,446339,6167148,"Oxygenmætning"," =",58.7,"pct",2
"TYSTRUP SØ, kemi","26.06.1991 12.00.00 +02:00","Marin",3.98,663916,6137795,"Oxygen indhold"," =",12.1,"mg/l",2
"HJULBY SØ AMTST.1","15.08.1989 12.00.00 +02:00","Marin",1.5,610959,6132589,"Oxygenmætning"," =",144,"pct",2
"SØBO SØ, vandkemi","17.07.1989 12.00.00 +02:00","Marin",5,576888,6118630,"Oxygen indhold"," =",7.7,"mg/l",2
"TYSTRUP SØ, kemi","29.05.1996 12.00.00 +02:00","Marin",5,663916,6137795,"Oxygen indhold"," =",9.4,"mg/l",2
"BENTHES SØ,MERN","11.05.1994 12.00.00 +02:00","Marin",0.2,691250,6106909,"Oxygen indhold"," =",11.9,"mg/l",2
"SØTORUP SØ, kemi","19.08.1994 12.00.00 +02:00","Marin",8.98,689419,6132094,"Oxygen indhold"," =",0.4,"mg/l",2
"BRABRAND SØ, VESTBASS","05.07.2001 12.00.00 +02:00","Marin",0.2,568689,6222983,"Oxygenmætning"," =",158,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","23.07.2009 12.00.00 +02:00","Marin",18.8,552519,6218243,"Oxygenmætning"," =",37.7,"pct",2
"HANNEBJERG MOSE,NORDVEST BASSI","02.09.1997 12.00.00 +02:00","Marin",1.5,610684,6079454,"Oxygenmætning"," =",90,"pct",2
"FLYNDERSØ, NORDLIGE DEL, Vandkemi","17.08.2023 12.00.00 +02:00","Marin",0.21,496148.98504392535,6263970.074694091,"Oxygen indhold","",9.3125,"mg/l",2
"VOMME SØ ST 2 AMT","07.06.2023 12.00.00 +02:00","Marin",1.48,603569.6262354288,6133607.693161743,"Oxygenmætning","",39.629,"pct",2
"Løgtved 1","22.05.2023 12.00.00 +02:00","Marin",2.02,644564.9739309603,6172472.067617527,"Oxygen indhold","",10.1725,"mg/l",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","14.10.2021 12.00.00 +02:00","Marin",5.5,504515.0399675299,6211703.980550439,"Oxygenmætning","",95.5,"pct",2
"Nakskov Indrefjord - KEMI","26.04.2000 12.00.00 +02:00","Marin",0.2,638164,6076354,"Oxygenmætning"," =",152.5,"pct",2
"SØHOLM SØ /001","30.05.2016 12.00.00 +02:00","Marin",6.5,571863,6125861,"Oxygenmætning"," =",30.1,"pct",3
"Skærsø - vandkemi","19.09.2012 12.00.00 +02:00","Marin",3,517419,6159693,"Oxygenmætning"," =",97.1,"pct",2
"Fårup Sø - vandkemi","14.05.1990 12.00.00 +02:00","Marin",1,525369,6176393,"Oxygen indhold"," =",9.5,"mg/l",2
"BRYRUP LANGSØ,  BRY 1","19.12.1994 12.00.00 +01:00","Marin",2,532693,6208262,"Oxygen indhold"," =",10.1,"mg/l",2
"ØRNSØ  - vandkemi","27.05.2008 12.00.00 +02:00","Marin",5,532481,6223358,"Oxygen indhold"," =",0.7,"mg/l",2
"Gram Slotsø - vandkemi","11.09.2019 12.00.00 +02:00","Marin",1.1,503704,6127607,"Oxygenmætning"," =",82.7,"pct",3
"Riis Sø - vandkemi","15.05.2006 12.00.00 +02:00","Marin",0.19,518344,6187450,"Oxygenmætning"," =",52.7,"pct",1
"FURESØ, kemi","25.07.1983 12.00.00 +02:00","Marin",26,714084,6189179,"Oxygen indhold"," =",3.7,"mg/l",2
"Store Søgård Sø - vandkemi","13.05.2014 12.00.00 +02:00","Marin",6,528587,6087722,"Oxygen indhold"," =",8.56,"mg/l",2
"GJORSLEV MØLLESØ, kemi","17.08.1995 12.00.00 +02:00","Marin",0.5,714654,6141325,"Oxygen indhold"," =",8.6,"mg/l",2
"Engelsholm Sø - vandkemi","11.09.2017 12.00.00 +02:00","Marin",2,520069,6174893,"Oxygen indhold"," =",9.25,"mg/l",3
"FURESØ, kemi","25.08.2004 12.00.00 +02:00","Marin",26.56,714084,6189179,"Oxygenmætning"," =",95,"pct",2
"VOMME SØ ST 2 AMT","25.03.2002 12.00.00 +01:00","Marin",3,603570,6133607,"Oxygen indhold"," =",15.3,"mg/l",2
"Vedsted Sø - vandkemi","15.06.2000 12.00.00 +02:00","Marin",5,523233,6116144,"Oxygenmætning"," =",69.5,"pct",2
"SNESERE SØ,TAPPERNØJE","12.09.2023 12.00.00 +02:00","Marin",2,687868.9998412702,6117349.003739079,"Oxygenmætning"," =",30.5,"pct",0
"EGGESØ, Vandkemi","01.07.2008 12.00.00 +02:00","Marin",2,490804,6264438,"Oxygenmætning"," =",86,"pct",2
"NORS SØ - vandkemi","05.08.2010 12.00.00 +02:00","Marin",18,476319,6320842,"Oxygen indhold"," =",7.8,"mg/l",3
"HJULBY SØ AMTST.1","05.04.1991 12.00.00 +02:00","Marin",0.2,610959,6132589,"Oxygenmætning"," =",110,"pct",2
"TEBSTRUP SØ","15.05.2019 12.00.00 +02:00","Marin",7,554540,6201824,"Oxygen indhold"," =",6.9,"mg/l",3
"SØGÅRD SØ (SYD, v. Vamdrup) - vandkemi","16.08.2005 12.00.00 +02:00","Marin",0.98,520785,6142631,"Oxygenmætning"," =",134,"pct",2
"HALD SØ, Vandkemi","06.07.2011 12.00.00 +02:00","Marin",15.71,520999,6247723,"Oxygenmætning"," =",44,"pct",2
"ESRUM SØ, kemi","14.04.1988 12.00.00 +02:00","Marin",21.5,711305,6213072,"Oxygenmætning"," =",108,"pct",2
"SØRUP SØ, Fyn /001","09.07.2013 12.00.00 +02:00","Marin",0.2,599779,6104178,"Oxygenmætning"," =",172,"pct",2
"ØRNSØ  - vandkemi","13.05.1992 12.00.00 +02:00","Marin",5,532481,6223358,"Oxygen indhold"," =",19.7,"mg/l",2
"MAGLESØ, kemi","16.04.1997 12.00.00 +02:00","Marin",0.98,669464,6168553,"Oxygen indhold"," =",11.9,"mg/l",2
"TORUP SØ - vandkemi","15.06.2022 12.00.00 +02:00","Marin",8,526864.0322221718,6208209.939589458,"Oxygen indhold","",0,"mg/l",2
"VOMME SØ ST 2 AMT","14.03.1989 12.00.00 +01:00","Marin",1.5,603570,6133607,"Oxygenmætning"," =",109,"pct",2
"LINDHOLM KRIDTGRAV - vandkemi","06.12.2012 12.00.00 +01:00","Marin",30,555670,6325321,"Oxygenmætning"," =",0.4,"pct",2
"TILLERUP SØ, MIDT","05.05.2004 12.00.00 +02:00","Marin",4.5,587789,6227563,"Oxygenmætning"," =",31,"pct",2
"SØHOLM SØ /001","22.09.2014 12.00.00 +02:00","Marin",0.5,571863,6125861,"Oxygen indhold"," =",8.58,"mg/l",2
"LYNGBY SØ, MIDT I VESTBASSIN, kemi","15.09.1988 12.00.00 +02:00","Marin",2,718006,6186555,"Oxygenmætning"," =",85,"pct",2
"NAKKEBØLLE INDDÆMNING AMT ST","06.09.2004 12.00.00 +02:00","Marin",1.2,586991,6103667,"Oxygen indhold"," =",0.4,"mg/l",2
"Sortesø /001, Fyn","22.06.1992 12.00.00 +02:00","Marin",2.5,583515,6108993,"Oxygenmætning"," =",0,"pct",2
"SØBYGÅRD SØ - vandkemi","18.09.1988 12.00.00 +02:00","Marin",1,550066,6234790,"Oxygen indhold"," =",7.86,"mg/l",2
"BROMME LILLESØ, kemi","27.06.2013 12.00.00 +02:00","Marin",2.02,658919,6151194,"Oxygen indhold"," =",8.69,"mg/l",2
"ØJESØ, N-DEL --ØJE1","11.08.2015 12.00.00 +02:00","Marin",9.05,599592,6239655,"Oxygen indhold"," =",0,"mg/l",2
"SNÆBUM SØ - vandkemi","10.07.2017 12.00.00 +02:00","Marin",13,539799,6278193,"Oxygen indhold"," =",0,"mg/l",3
"RAVNSØ, MIDT -- RAV1 - vandkemi","09.08.2006 12.00.00 +02:00","Marin",10,552519,6218243,"Oxygen indhold"," =",3.6,"mg/l",2
"SORØ SØ ST.1, HOVEDSTATIONEN","03.05.2023 12.00.00 +02:00","Marin",7.16,661416.9789887156,6145191.074552883,"Oxygenmætning","",92.7514,"pct",2
"KNUD SØ, ØST - Kemistation","10.08.2016 12.00.00 +02:00","Marin",28,547982,6217718,"Oxygen indhold"," =",0,"mg/l",3
"Fårup Sø - vandkemi","05.08.2003 12.00.00 +02:00","Marin",1.01,525369,6176393,"Oxygen indhold"," =",9.5,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","08.06.1994 12.00.00 +02:00","Marin",15.3,552519,6218243,"Oxygen indhold"," =",13.1,"mg/l",2
"FURESØ, kemi","24.04.2023 12.00.00 +02:00","Marin",31.04,714084.4349960297,6189178.677114806,"Oxygenmætning","",102.3621,"pct",2
"SØ V. BRAMSLØKKE GODS AMT ST","24.08.2004 12.00.00 +02:00","Marin",0.2,671149,6067840,"Oxygenmætning"," =",41.2,"pct",2
"Store Søgård Sø - vandkemi","07.11.2006 12.00.00 +01:00","Marin",3,528587,6087722,"Oxygen indhold"," =",9.9,"mg/l",2
"BREDVAD SØ,NØ F STADSBORG MOSE","17.12.1996 12.00.00 +01:00","Marin",0.2,592879,6253854,"Oxygenmætning"," =",98,"pct",2
"VESTERBORG SØ, kemi","13.07.1999 12.00.00 +02:00","Marin",0.2,645924,6082133,"Oxygen indhold"," =",7.1,"mg/l",2
"FURESØ, kemi","06.07.2000 12.00.00 +02:00","Marin",3,714084,6189179,"Oxygen indhold"," =",10.5,"mg/l",2
"BORBJERG MØLLESØ, Vandkemi","14.04.1988 12.00.00 +02:00","Marin",0.2,485144,6251534,"Oxygen indhold"," =",15.5,"mg/l",2
"Lille Ibjerg Sø (Grusgravsø. 4.1) /001","10.05.2023 12.00.00 +02:00","Marin",2.99,596522.5890392186,6131165.932743631,"Oxygenmætning","",106.2553,"pct",2
"GISSELFELT SØ AMT ST","08.05.2023 12.00.00 +02:00","Marin",1.09,688776.0504141707,6131045.974847876,"Oxygenmætning","",104.0328,"pct",2
"SKÆNKEN LILLESØ, Vandkemi","12.05.2015 12.00.00 +02:00","Marin",0.2,469203,6197914,"Oxygen indhold"," =",10.21,"mg/l",2
"Bjerre Engsø","04.06.2015 12.00.00 +02:00","Marin",0.5,555967,6183143,"Oxygenmætning"," =",111.8,"pct",2
"SILKEBORG LANGSØ,VESTB - SIL4","22.04.1974 12.00.00 +01:00","Marin",3,532164,6224755,"Oxygen indhold"," =",11.6,"mg/l",2
"Rygbjerg Sø - vandkemi","15.08.2001 12.00.00 +02:00","Marin",12,522378,6116429,"Oxygenmætning"," =",0.9,"pct",2
"STEJLHOLT SØ - vandkemi","08.06.2023 12.00.00 +02:00","Marin",4.54,540679.0375218387,6212860.997082832,"Oxygenmætning","",9.4256,"pct",2
"SØBO SØ, vandkemi","02.04.1990 12.00.00 +02:00","Marin",0.2,576888,6118630,"Oxygenmætning"," =",105,"pct",2
"PYRITSØEN, kemi ","01.10.2025 12.00.00 +02:00","Marin",1.9,863551.3806034648,6126567.41182306,"Oxygenmætning","",105.43,"pct",2
"HINGE SØ - vandkemi","05.12.1991 12.00.00 +01:00","Marin",1.6,531019,6234743,"Oxygen indhold"," =",12,"mg/l",2
"Stilling Solbjerg Sø, SYD FOR KOLLEN","27.09.2018 12.00.00 +02:00","Marin",9.01,565236,6213113,"Oxygen indhold"," =",8,"mg/l",3
"LEMVIG SØ, Vandkemi","08.07.1993 12.00.00 +02:00","Marin",0.2,457993,6266836,"Oxygen indhold"," =",10.4,"mg/l",2
"TYSTRUP SØ, kemi","21.05.2019 12.00.00 +02:00","Marin",11.02,663916,6137795,"Oxygenmætning"," =",83.8,"pct",3
"FUSSING SØ MIDT ","16.07.2019 12.00.00 +02:00","Marin",13.54,553787,6258768,"Oxygen indhold"," =",2.4,"mg/l",3
"SØBY SØ, MIDTJYLLAND, Vandkemi","20.05.2010 12.00.00 +02:00","Marin",5.07,504515,6211704,"Oxygenmætning"," =",100,"pct",2
"BASTRUP SØ, kemi","28.08.1997 12.00.00 +02:00","Marin",2,704828,6190664,"Oxygenmætning"," =",73,"pct",2
"MØLHOLM KRIDTGRAV - vandkemi","03.07.2015 12.00.00 +02:00","Marin",6,553378,6322437,"Oxygenmætning"," =",110.4,"pct",2
"HALD SØ ST.3","06.07.2004 12.00.00 +02:00","Marin",6,521059,6249273,"Oxygen indhold"," =",11.1,"mg/l",2
"NORS SØ - vandkemi","30.03.2009 12.00.00 +02:00","Marin",9.8,476319,6320842,"Oxygen indhold"," =",12.83,"mg/l",3
"Engelsholm Sø - vandkemi","28.04.2014 12.00.00 +02:00","Marin",6,520069,6174893,"Oxygenmætning"," =",29.8,"pct",2
"Oldenor - vandkemi","17.07.1996 12.00.00 +02:00","Marin",2.02,546198,6099559,"Oxygen indhold"," =",9.6,"mg/l",2
"MAGLESØ, kemi","22.10.1998 12.00.00 +02:00","Marin",5.02,669464,6168553,"Oxygenmætning"," =",83,"pct",2
"NORS SØ - vandkemi","25.09.2002 12.00.00 +02:00","Marin",14,476319,6320842,"Oxygen indhold"," =",9.5,"mg/l",2
"ØJESØ, N-DEL --ØJE1","05.07.2015 12.00.00 +02:00","Marin",4,599592,6239655,"Oxygenmætning"," =",35,"pct",2
"Langesø /002","28.04.1997 12.00.00 +02:00","Marin",4,575712,6143790,"Oxygen indhold"," =",9.4,"mg/l",2
"Rørbæk Sø - vandkemi","30.10.1995 12.00.00 +01:00","Marin",1,523097,6198608,"Oxygen indhold"," =",10.9,"mg/l",2
"Torup Sø -  iltstation 1.1","12.07.2004 12.00.00 +02:00","Marin",4.01,526689,6208406,"Oxygenmætning"," =",75.2,"pct",2
"Rugaard NØRRESØ, MIDT - vandkemi","24.04.2002 12.00.00 +02:00","Marin",1,612264,6239269,"Oxygen indhold"," =",9.5,"mg/l",2
"SØTORUP SØ, kemi","08.05.1995 12.00.00 +02:00","Marin",14,689419,6132094,"Oxygen indhold"," =",11,"mg/l",2
"Store Søgård Sø - vandkemi","31.07.1978 12.00.00 +01:00","Marin",6.5,528587,6087722,"Oxygen indhold"," =",1.8,"mg/l",2
"SARUP SØ ST AMT","02.05.1990 12.00.00 +02:00","Marin",2.5,567954,6118169,"Oxygen indhold"," =",9.4,"mg/l",2
"VEDSØ, RINDSHOLM, Vandkemi","20.05.1987 12.00.00 +02:00","Marin",0.2,525999,6250533,"Oxygen indhold"," =",11.4,"mg/l",2
"LYNGSØ","10.04.2013 12.00.00 +02:00","Marin",4.02,533819,6223793,"Oxygen indhold"," =",12,"mg/l",2
"Oldenor - vandkemi","24.08.1999 12.00.00 +02:00","Marin",1,546198,6099559,"Oxygenmætning"," =",133.7,"pct",2
"Arreskov Sø /004","10.04.2003 12.00.00 +02:00","Marin",0.5,583299,6113387,"Oxygen indhold"," =",12.7,"mg/l",2
"GRUSGRAVSSØ NR 34","14.09.2016 12.00.00 +02:00","Marin",3,522838,6104261,"Oxygenmætning"," =",94.8,"pct",3
"KORSGÅRD SØ AMT ST","13.05.1993 12.00.00 +02:00","Marin",0.5,671989,6066874,"Oxygen indhold"," =",10.3,"mg/l",2
"NYRÅD TEGLVÆRKSSØ","24.06.1996 12.00.00 +02:00","Marin",3.5,690771,6099872,"Oxygenmætning"," =",4,"pct",2
"FURESØ, kemi","20.10.2025 12.00.00 +02:00","Marin",21.15,714084.4349960297,6189178.677114806,"Oxygen indhold","",8.78,"mg/l",2
"HUNO SØ Møn, kemi","13.11.2008 12.00.00 +01:00","Marin",1,725328,6098699,"Oxygenmætning"," =",73.9,"pct",2
"ENSØ, Vandkemi","25.08.2011 12.00.00 +02:00","Marin",2.4,518719,6199593,"Oxygen indhold"," =",1.8,"mg/l",2
"Arreskov Sø /004","11.06.1992 12.00.00 +02:00","Marin",0.2,583299,6113387,"Oxygen indhold"," =",4,"mg/l",2
"SØHOLM SØ /001","21.08.2006 12.00.00 +02:00","Marin",13.5,571863,6125861,"Oxygenmætning"," =",0,"pct",2
"KOKKÆR VAND - vandkemi","25.05.2021 12.00.00 +02:00","Marin",0.5,479239.0000173234,6324722.003451584,"Oxygen indhold","",10.75,"mg/l",2
"Kvie Sø - vandkemi","17.08.2010 12.00.00 +02:00","Marin",1,485559,6175543,"Oxygen indhold"," =",8.27,"mg/l",2
"NORS SØ - vandkemi","07.09.2016 12.00.00 +02:00","Marin",1,476319,6320842,"Oxygen indhold"," =",9.76,"mg/l",3
"SØGÅRD SØ (SYD, v. Vamdrup) - vandkemi","20.03.1997 12.00.00 +01:00","Marin",2.5,520785,6142631,"Oxygenmætning"," =",112,"pct",2
"HEJREDE SØ, MARIBO","17.11.2011 12.00.00 +01:00","Marin",0.2,666920,6068978,"Oxygenmætning"," =",90.03,"pct",2
"ØRNSØ  - vandkemi","29.03.1999 12.00.00 +02:00","Marin",1.1,532481,6223358,"Oxygenmætning"," =",84,"pct",2
"TRYGGELEV NOR VEST MC ST 2","10.08.2006 12.00.00 +02:00","Marin",2.9,606770,6073340,"Oxygen indhold"," =",5.3,"mg/l",2
"Store Søgård Sø - vandkemi","17.01.2018 12.00.00 +01:00","Marin",1,528587,6087722,"Oxygenmætning"," =",89.1,"pct",3
"ESRUM SØ, kemi","31.05.1990 12.00.00 +02:00","Marin",0,711305,6213072,"Oxygen indhold"," =",9.4,"mg/l",2
"STILLING-SOLBJEGSØ B AMT ST","06.06.1984 12.00.00 +02:00","Marin",0,566803,6212335,"Oxygen indhold"," =",9.2,"mg/l",2
"Smalby Sø vest - vandkemi","03.06.2015 12.00.00 +02:00","Marin",0.2,557002,6329407,"Oxygenmætning"," =",100,"pct",2
"VIRKET SØ, kemi","03.04.1973 12.00.00 +01:00","Marin",2,690400,6080263,"Oxygen indhold"," =",12.9,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","30.08.2007 12.00.00 +02:00","Marin",11,552519,6218243,"Oxygen indhold"," =",17.5,"mg/l",2
"SØNDERSØ, kemi","02.10.1996 12.00.00 +02:00","Marin",2.5,710238,6186185,"Oxygen indhold"," =",9.8,"mg/l",2
"FURESØ, kemi","07.09.1995 12.00.00 +02:00","Marin",19,714084,6189179,"Oxygen indhold"," =",0,"mg/l",2
"SØHOLM SØ /001","20.10.2020 12.00.00 +02:00","Marin",13,571863,6125861,"Oxygenmætning"," =",0.15,"pct",2
"Ban Sø - vandkemi","13.06.2005 12.00.00 +02:00","Marin",2.5,522191,6115971,"Oxygenmætning"," =",0.8,"pct",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","05.04.1995 12.00.00 +02:00","Marin",1,504515,6211704,"Oxygenmætning"," =",98,"pct",2
"ØJESØ, N-DEL --ØJE1","30.04.1984 12.00.00 +02:00","Marin",1,599592,6239655,"Oxygen indhold"," =",16.2,"mg/l",2
"TRANEMOSE, Vandkemi","16.04.2015 12.00.00 +02:00","Marin",0.6,490178,6264055,"Oxygenmætning"," =",100.5,"pct",2
"ALMINDSØ  ALM 1","05.08.2015 12.00.00 +02:00","Marin",8.93,534102,6222659,"Oxygen indhold"," =",10,"mg/l",2
"Jels Nedersø - vandkemi","06.07.2015 12.00.00 +02:00","Marin",1,513937,6135204,"Oxygenmætning"," =",113.4,"pct",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","07.10.2008 12.00.00 +02:00","Marin",2.22,504515,6211704,"Oxygen indhold"," =",10.3,"mg/l",2
"ESRUM SØ, kemi","08.06.1988 12.00.00 +02:00","Marin",10,711305,6213072,"Oxygenmætning"," =",89,"pct",2
"Vedsted Sø - vandkemi","18.02.1997 12.00.00 +01:00","Marin",9,523233,6116144,"Oxygen indhold"," =",11.7,"mg/l",2
"SØHOLM SØ /001","20.09.1993 12.00.00 +02:00","Marin",11,571863,6125861,"Oxygen indhold"," =",1.3,"mg/l",2
"NIPGÅRD SØ ST 1","02.06.2017 12.00.00 +02:00","Marin",2.02,521339,6240483,"Oxygen indhold"," =",9.3,"mg/l",3
"HALD SØ, Vandkemi","22.08.2011 12.00.00 +02:00","Marin",10.21,520999,6247723,"Oxygen indhold"," =",2.4,"mg/l",2
"RAMTEN SØ, SYDLIGE DEL- RAM 3","13.05.1997 12.00.00 +02:00","Marin",0.5,600401,6256199,"Oxygenmætning"," =",96,"pct",2
"TYSTRUP SØ, kemi","14.01.1992 12.00.00 +01:00","Marin",0,663916,6137795,"Oxygen indhold"," =",11.9,"mg/l",2
"TEGLGÅRD SØ AMT ST","21.09.2017 12.00.00 +02:00","Marin",0.2,707019,6202600,"Oxygen indhold"," =",7.5,"mg/l",3
"SØBO SØ, vandkemi","04.08.2009 12.00.00 +02:00","Marin",3,576888,6118630,"Oxygenmætning"," =",64,"pct",2
"GRANE LANGSØ, MIDT","25.08.1988 12.00.00 +02:00","Marin",12,528200,6208143,"Oxygenmætning"," =",31,"pct",2
"SØBYLEJET 31, MELDGÅRD SØ, Vandkemi","20.07.2009 12.00.00 +02:00","Marin",8.13,506525,6207743,"Oxygenmætning"," =",46,"pct",1
"HØJBY SØ, kemi","12.05.2003 12.00.00 +02:00","Marin",2.05,662718,6199994,"Oxygenmætning"," =",94.8,"pct",2
"VANDET SØ - vandkemi","22.08.2024 12.00.00 +02:00","Marin",12,473039.02038627525,6319052.000657112,"Oxygenmætning","",90.79,"pct",2
"FARUM SØ, DYBESTE STED NORD","04.08.1987 12.00.00 +02:00","Marin",10,710835,6189267,"Oxygen indhold"," =",8.8,"mg/l",2
"HAMPEN SØ, Vandkemi","05.10.1998 12.00.00 +02:00","Marin",8.03,524669,6208043,"Oxygenmætning"," =",90.5,"pct",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","07.10.2008 12.00.00 +02:00","Marin",3.03,504515,6211704,"Oxygen indhold"," =",10.2,"mg/l",2
"VEDSØ, NONBO, Vandkemi","11.05.2021 12.00.00 +02:00","Marin",7,524268.99997964257,6251523.003557812,"Oxygenmætning"," =",93.93,"pct",2
"MAGLESØ, kemi","23.09.2008 12.00.00 +02:00","Marin",1,669464,6168553,"Oxygen indhold"," =",10,"mg/l",2
"NOLS SØ - vandkemi","22.01.2002 12.00.00 +01:00","Marin",1,541660,6348635,"Oxygen indhold"," =",8.3,"mg/l",2
"FURESØ, kemi","13.08.1991 12.00.00 +02:00","Marin",20.29,714084,6189179,"Oxygenmætning"," =",1,"pct",2
"Haderslev Dam - vandkemi","13.06.1995 12.00.00 +02:00","Marin",0.2,527839,6121117,"Oxygen indhold"," =",17.9,"mg/l",2
"Vedsted Sø - vandkemi","11.06.2015 12.00.00 +02:00","Marin",3,523233,6116144,"Oxygen indhold"," =",11.15,"mg/l",2
"HALD SØ, Vandkemi","16.06.2008 12.00.00 +02:00","Marin",21.39,520999,6247723,"Oxygenmætning"," =",41,"pct",2
"TYSTRUP SØ, kemi","13.08.2013 12.00.00 +02:00","Marin",8.5,663916,6137795,"Oxygen indhold"," =",1.05,"mg/l",2
"Jels Nedersø - vandkemi","12.06.2007 12.00.00 +02:00","Marin",10.5,513937,6135204,"Oxygen indhold"," =",0.4,"mg/l",2
"LYNGBY SØ, MIDT I VESTBASSIN, kemi","13.10.1988 12.00.00 +01:00","Marin",0.5,718006,6186555,"Oxygenmætning"," =",89,"pct",2
"FLØDESTRUP SØ ST AMT","18.07.1989 12.00.00 +02:00","Marin",1,606294,6137712,"Oxygenmætning"," =",108,"pct",2
"Tårnholm sø","02.08.2016 12.00.00 +02:00","Marin",3,640343,6134596,"Oxygen indhold"," =",1.1,"mg/l",3
"KNUD SØ, ØST - Kemistation","10.05.2022 12.00.00 +02:00","Marin",7.5,547981.9608128633,6217717.920106421,"Oxygen indhold","",13.2564,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","13.12.2022 12.00.00 +01:00","Marin",6.09,552519.0274697327,6218242.98182966,"Oxygenmætning","",78.1868,"pct",2
"Uge Sø 2 - vandkemi","27.10.1989 12.00.00 +01:00","Marin",0.2,519204,6091055,"Oxygen indhold"," =",10.3,"mg/l",2
"SIDETAGSSØ ØST FOR IKAST, Vandkemi","21.06.2012 12.00.00 +02:00","Marin",2.5,512795,6220522,"Oxygenmætning"," =",114,"pct",2
"RING SØ","12.09.1991 12.00.00 +02:00","Marin",2,537179,6202473,"Oxygen indhold"," =",8.9,"mg/l",2
"BURESØ","16.05.2001 12.00.00 +02:00","Marin",9,701619,6191260,"Oxygenmætning"," =",67,"pct",2
"Skanderborg Lillesø, MIDT","29.05.1990 12.00.00 +02:00","Marin",0.5,557923,6209612,"Oxygen indhold"," =",13.9,"mg/l",2
"STORE KATTINGE SØ, kemi","27.10.1999 12.00.00 +02:00","Marin",5,689552,6172212,"Oxygen indhold"," =",11.3,"mg/l",2
"TYSTRUP SØ, kemi","03.09.1996 12.00.00 +02:00","Marin",10,663916,6137795,"Oxygenmætning"," =",58,"pct",2
"KLARESØ, kemi","25.11.2009 12.00.00 +01:00","Marin",1,721332,6217390,"Oxygen indhold"," =",10.3,"mg/l",2
"SORTEDAMSSØ NORD-BAS, kemi","22.09.2009 12.00.00 +02:00","Marin",1,724716,6177956,"Oxygen indhold"," =",14,"mg/l",2
"SØNDERBY SØ ST AMT","17.04.1991 12.00.00 +02:00","Marin",1.5,561030,6122153,"Oxygenmætning"," =",108,"pct",2
"Nørresø, Fyn /004, sediment","29.06.1989 12.00.00 +02:00","Marin",5,587900,6112247,"Oxygenmætning"," =",97,"pct",2
"STADIL FJORD, Vandkemi","01.05.1997 12.00.00 +02:00","Marin",1.01,451285,6224313,"Oxygen indhold"," =",10.9,"mg/l",2
"SØ NR 3220 AMT ST","10.07.2006 12.00.00 +02:00","Marin",0.2,460524,6222828,"Oxygen indhold"," =",5.7,"mg/l",2
"FURESØ, kemi","02.02.1994 12.00.00 +01:00","Marin",15.95,714084,6189179,"Oxygen indhold"," =",12.3,"mg/l",2
"Langesø /002","08.09.2003 12.00.00 +02:00","Marin",0.5,575712,6143790,"Oxygenmætning"," =",93,"pct",2
"ALMINDSØ  ALM 1","06.10.1994 12.00.00 +01:00","Marin",16,534102,6222659,"Oxygen indhold"," =",0.2,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","25.08.1992 12.00.00 +02:00","Marin",28,552519,6218243,"Oxygenmætning"," =",2,"pct",2
"BRYRUP LANGSØ,  BRY 1","27.04.2011 12.00.00 +02:00","Marin",2.03,532693,6208262,"Oxygen indhold"," =",13.8,"mg/l",2
"ARUP VEJLE - vandkemi","26.04.2010 12.00.00 +02:00","Marin",1,494889,6319219,"Oxygen indhold"," =",11.7,"mg/l",2
"BORRESMINDE GRUSGRAV AMT ST","09.08.2001 12.00.00 +02:00","Marin",2,649283,6085746,"Oxygen indhold"," =",9.1,"mg/l",2
"HEJREDE SØ, MARIBO","13.07.1992 12.00.00 +02:00","Marin",0.2,666920,6068978,"Oxygen indhold"," =",10.7,"mg/l",2
"BORRESØ, BOR1","19.11.2009 12.00.00 +01:00","Marin",8.5,537878,6220827,"Oxygenmætning"," =",87,"pct",2
"VIBORG NØRRESØ, Vandkemi","07.06.1990 12.00.00 +02:00","Marin",4,526649,6257983,"Oxygen indhold"," =",11.8,"mg/l",2
"OLLERUP SØ AMTST.1","15.03.1989 12.00.00 +01:00","Marin",0.5,594808,6103529,"Oxygenmætning"," =",109,"pct",2
"HAUGE SØ ST 1","31.10.1988 12.00.00 +01:00","Marin",0.2,521419,6234823,"Oxygen indhold"," =",10.6,"mg/l",2
"Skanderborg Sø - vandkemi","04.06.1986 12.00.00 +02:00","Marin",8,557952,6207834,"Oxygen indhold"," =",7,"mg/l",2
